,HISSE,INDUSTRY
0,AEFES,Beverages—Brewers
1,AKBNK,Banks—Regional
2,AKSA,Textile Manufacturing
3,AKSEN,Utilities—Renewable
4,ALARK,Conglomerates
5,ALBRK,Banks—Regional
6,ALGYO,REIT—Diversified
7,ANACM,CIKIS
8,ARCLK,"Furnishings, Fixtures & Appliances"
9,ASELS,Aerospace & Defense
10,BERA,Conglomerates
11,BIMAS,Grocery Stores
12,BJKAS,Entertainment
13,CCOLA,Beverages—Non-Alcoholic
14,CEMAS,Metal Fabrication
15,CEMTS,Steel
16,CLEBI,Airports & Air Services
17,DGKLB,ISIM DEGIS
18,DOHOL,Conglomerates
19,ECILC,Drug Manufacturers—General
20,EGEEN,Auto Parts
21,EKGYO,REIT—Residential
22,ENJSA,Utilities—Regulated Electric
23,ENKAI,Engineering & Construction
24,EREGL,Steel
25,FENER,Entertainment
26,FROTO,Auto Manufacturers
27,GARAN,Banks—Regional
28,GENTS,"Furnishings, Fixtures & Appliances"
29,GEREL,Electrical Equipment & Parts
30,GLYHO,Conglomerates
31,GOLTS,Building Materials
32,GOODY,Auto Parts
33,GOZDE,Asset Management
34,GSDHO,Asset Management
35,GSRAY,Entertainment
36,GUBRF,Agricultural Inputs
37,HALKB,Banks—Regional
38,HEKTS,Agricultural Inputs
39,HURGZ,Publishing
40,ICBCT,Banks—Regional
41,IEYHO,Textile Manufacturing
42,IHLAS,Conglomerates
43,IHLGM,Real Estate—Diversified
44,INDES,Computer Hardware
45,IPEKE,Gold
46,ISCTR,Banks—Regional
47,ISDMR,Steel
48,ISFIN,Credit Services
49,ISGYO,REIT—Diversified
50,ITTFH,Conglomerates
51,KARSN,Auto Manufacturers
52,KARTN,Packaging & Containers
53,KCHOL,Conglomerates
54,KERVT,Packaged Foods
55,KORDS,Textile Manufacturing
56,KOZAA,Other Industrial Metals & Mining
57,KOZAL,Gold
58,KRDMD,Steel
59,MAVI,Apparel Retail
60,METRO,Packaged Foods
61,MGROS,Grocery Stores
62,MPARK,Medical Care Facilities
63,NETAS,Communication Equipment
64,NTHOL,Travel Services
65,ODAS,Utilities—Regulated Electric
66,OTKAR,Auto Manufacturers
67,PARSN,Specialty Industrial Machinery
68,PETKM,Chemicals
69,PGSUS,Airlines
70,POLHO,Specialty Chemicals
71,PRKME,Thermal Coal
72,SAHOL,Banks—Regional
73,SARKY,Copper
74,SASA,Textile Manufacturing
75,SISE,Specialty Chemicals
76,SKBNK,Banks—Regional
77,SODA,CIKIS
78,SOKM,Department Stores
79,TATGD,Packaged Foods
80,TAVHL,Airports & Air Services
81,TCELL,Telecom Services
82,THYAO,Airlines
83,TKFEN,Engineering & Construction
84,TMSN,Farm & Heavy Construction Machinery
85,TOASO,Auto Manufacturers
86,TRKCM,CIKIS
87,TSKB,Banks—Regional
88,TSPOR,Broadcasting
89,TTKOM,Telecom Services
90,TTRAK,Farm & Heavy Construction Machinery
91,TUPRS,Oil & Gas Refining & Marketing
92,TURSG,Insurance—Property & Casualty
93,ULKER,Confectioners
94,VAKBN,Banks—Regional
95,VERUS,Asset Management
96,VESTL,Consumer Electronics
97,YATAS,"Furnishings, Fixtures & Appliances"
98,YKBNK,Banks—Regional
99,ZOREN,Utilities—Diversified
