,HISSE,SEKTOR
0,AEFES,Consumer Defensive
1,AGHOL,Consumer Defensive
2,AKBNK,Financial Services
3,AKCNS,Basic Materials
4,AKGRT,Financial Services
5,AKSA,Consumer Cyclical
6,AKSEN,Utilities
7,ALARK,Industrials
8,ALBRK,Financial Services
9,ALGYO,Real Estate
10,ALKIM,Basic Materials
11,ANACM,CIKIS
12,ANHYT,Financial Services
13,ARCLK,Consumer Cyclical
14,ASELS,Industrials
15,AYGAZ,Utilities
16,BIMAS,Consumer Defensive
17,BIZIM,Consumer Cyclical
18,BRISA,Consumer Cyclical
19,BRSAN,Basic Materials
20,BUCIM,Basic Materials
21,CCOLA,Consumer Defensive
22,CEMTS,Basic Materials
23,CIMSA,Basic Materials
24,CLEBI,Industrials
25,DEVA,Healthcare
26,DOAS,Consumer Cyclical
27,DOHOL,Industrials
28,ECILC,Healthcare
29,ECZYT,Industrials
30,EGEEN,Consumer Cyclical
31,EKGYO,Real Estate
32,ENJSA,Utilities
33,ENKAI,Industrials
34,EREGL,Basic Materials
35,FROTO,Consumer Cyclical
36,GARAN,Financial Services
37,GLYHO,Industrials
38,GOODY,Consumer Cyclical
39,GOZDE,Financial Services
40,GUBRF,Basic Materials
41,HALKB,Financial Services
42,HEKTS,Basic Materials
43,HLGYO,Real Estate
44,IPEKE,Basic Materials
45,ISCTR,Financial Services
46,ISDMIR,Basic Materials
47,ISFIN,Financial Services
48,ISGYO,Real Estate
49,ISMEN,Financial Services
50,KAREL,Technology
51,KARSN,Consumer Cyclical
52,KARTN,Consumer Cyclical
53,KCHOL,Industrials
54,KERVT,Consumer Defensive
55,KLMSN,Industrials
56,KORDS,Consumer Cyclical
57,KOZAA,Basic Materials
58,KOZAL,Basic Materials
59,KRDMD,Basic Materials
60,LOGO,Technology
61,MAVI,Consumer Cyclical
62,MGROS,Consumer Defensive
63,MPARK,Healthcare
64,NETAS,Technology
65,NTHOL,Consumer Cyclical
66,ODAS,Utilities
67,OTKAR,Consumer Cyclical
68,OZKGY,Real Estate
69,PETKM,Basic Materials
70,PGSUS,Industrials
71,RYGYO,Real Estate
72,SAHOL,Financial Services
73,SARKY,Basic Materials
74,SASA,Consumer Cyclical
75,SELEC,Healthcare
76,SISE,Basic Materials
77,SKBNK,Financial Services
78,SODA,CIKIS
79,SOKM,Consumer Cyclical
80,TATGD,Consumer Defensive
81,TAVHL,Industrials
82,TCELL,Communication Services
83,THYAO,Industrials
84,TKFEN,Industrials
85,TMSN,Industrials
86,TOASO,Consumer Cyclical
87,TRGYO,Real Estate
88,TRKCM,CIKIS
89,TSKB,Financial Services
90,TTKOM,Communication Services
91,TTRAK,Industrials
92,TUPRS,Energy
93,TURSG,Financial Services
94,ULKER,Consumer Defensive
95,VAKBN,Financial Services
96,VESTL,Technology
97,YATAS,Consumer Cyclical
98,YKBNK,Financial Services
99,ZOREN,Utilities
