,HISSE,INDUSTRY-20,SEKTOR-20
0,AEFES,Beverages/Brewers,Consumer Defensive
1,AGHOL,Beverages/Non-Alcoholic,Consumer Defensive
2,AKBNK,Banks/Regional,Financial Services
3,AKGRT,Insurance/Diversified,Financial Services
4,AKSA,Textile Manufacturing,Consumer Cyclical
5,AKSEN,Utilities/Renewable,Utilities
6,ALARK,Conglomerates,Industrials
7,ALBRK,Banks/Regional,Financial Services
8,ALGYO,REIT/Diversified,Real Estate
9,ALKIM,Paper & Paper Products,Basic Materials
10,ANACM,BIRLES,BIRLES
11,ANHYT,Insurance/Life,Financial Services
"12,ARCLK,""Furnishings, Fixtures & Appliances"",Consumer Cyclical"
13,ASELS,Aerospace & Defense,Industrials
14,AYGAZ,Utilities/Regulated Gas,Utilities
15,BIMAS,Grocery Stores,Consumer Defensive
16,BIZIM,Department Stores,Consumer Cyclical
17,BRISA,Auto Parts,Consumer Cyclical
18,BRSAN,Steel,Basic Materials
19,BTCIM,Building Materials,Basic Materials
20,BUCIM,Building Materials,Basic Materials
21,CCOLA,Beverages/Non-Alcoholic,Consumer Defensive
22,CEMTS,Steel,Basic Materials
23,CIMSA,Building Materials,Basic Materials
24,CLEBI,Airports & Air Services,Industrials
25,DEVA,Drug Manufacturers/Specialty & Generic,Healthcare
26,DOAS,Auto & Truck Dealerships,Consumer Cyclical
27,DOHOL,Conglomerates,Industrials
28,ECILC,Drug Manufacturers/General,Healthcare
29,ECZYT,Conglomerates,Industrials
30,EGEEN,Auto Parts,Consumer Cyclical
31,EKGYO,REIT/Residential,Real Estate
32,ENJSA,Utilities/Regulated Electric,Utilities
33,ENKAI,Engineering & Construction,Industrials
34,ERBOS,Metal Fabrication,Industrials
35,EREGL,Steel,Basic Materials
36,FROTO,Auto Manufacturers,Consumer Cyclical
37,GARAN,Banks/Regional,Financial Services
38,GOODY,Auto Parts,Consumer Cyclical
39,GOZDE,Asset Management,Financial Services
40,GSDHO,Asset Management,Financial Services
41,GUBRF,Agricultural Inputs,Basic Materials
42,HALKB,Banks/Regional,Financial Services
43,HEKTS,Agricultural Inputs,Basic Materials
44,HLGYO,REIT/Diversified,Real Estate
45,INDES,Computer Hardware,Technology
46,IPEKE,Gold,Basic Materials
47,ISCTR,Banks/Regional,Financial Services
48,ISFIN,Credit Services,Financial Services
49,ISGYO,REIT/Diversified,Real Estate
50,ISMEN,Capital Markets,Financial Services
51,KAREL,Communication Equipment,Technology
52,KARSN,Auto Manufacturers,Consumer Cyclical
53,KARTN,Packaging & Containers,Consumer Cyclical
54,KCHOL,Conglomerates,Industrials
55,KERVT,Packaged Foods,Consumer Defensive
56,KLMSN,Specialty Industrial Machinery,Industrials
57,KORDS,Textile Manufacturing,Consumer Cyclical
58,KOZAA,Other Industrial Metals & Mining,Basic Materials
59,KOZAL,Gold,Basic Materials
60,KRDMD,Steel,Basic Materials
61,LOGO,Software/Application,Technology
62,MAVI,Apparel Retail,Consumer Cyclical
63,MGROS,Grocery Stores,Consumer Defensive
64,MPARK,Medical Care Facilities,Healthcare
65,NETAS,Communication Equipment,Technology
66,NTHOL,Travel Services,Consumer Cyclical
67,ODAS,Utilities/Regulated Electric,Utilities
68,OTKAR,Auto Manufacturers,Consumer Cyclical
69,PETKM,Chemicals,Basic Materials
70,PGSUS,Airlines,Industrials
71,SAHOL,Banks/Regional,Financial Services
72,SARKY,Copper,Basic Materials
73,SASA,Textile Manufacturing,Consumer Cyclical
74,SISE,Specialty Chemicals,Basic Materials
75,SKBNK,Banks/Regional,Financial Services
76,SODA,BIRLES,BIRLES
77,SOKM,Department Stores,Consumer Cyclical
78,TATGD,Packaged Foods,Consumer Defensive
79,TAVHL,Airports & Air Services,Industrials
80,TCELL,Telecom Services,Communication Services
81,THYAO,Airlines,Industrials
82,TKFEN,Engineering & Construction,Industrials
83,TMSN,Farm & Heavy Construction Machinery,Industrials
84,TOASO,Auto Manufacturers,Consumer Cyclical
85,TRCAS,Utilities/Independent Power Producers,Utilities
86,TRGYO,REIT/Retail,Real Estate
87,TRKCM,BIRLES,BIRLES
88,TSKB,Banks/Regional,Financial Services
89,TTKOM,Telecom Services,Communication Services
90,TTRAK,Farm & Heavy Construction Machinery,Industrials
91,TUPRS,Oil & Gas Refining & Marketing,Energy
92,TURSG,Insurance/Property & Casualty,Financial Services
93,ULKER,Confectioners,Consumer Defensive
94,VAKBN,Banks/Regional,Financial Services
95,VESTL,Consumer Electronics,Technology
"96,YATAS,""Furnishings, Fixtures & Appliances"",Consumer Cyclical"
97,YKBNK,Banks/Regional,Financial Services
98,ZOREN,Utilities/Diversified,Utilities
99,AKCNS,Building Materials,Basic Materials
100,GLYHO,Conglomerates,Industrials
101,OZKGY,REIT/Diversified,Real Estate
102,RYGYO,REIT/Industrial,Real Estate
103,SELEC,Pharmaceutical Retailers,Healthcare
104,DOCO,Airports & Air Services,Industrials
105,OYAKC,Building Materials,Basic Materials
106,AKSGY,REIT/Diversified,Real Estate
107,ALCTL,Communication Equipment,Technology
108,ARDYZ,Software/Infrastructure,Technology
109,PETUN,Packaged Foods,Consumer Defensive
110,PNSUT,Packaged Foods,Consumer Defensive
