,HISSE,INDUSTRY-19,SEKTOR-19,INDUSTRY-20,SEKTOR-20,INDUSTRY-21,SEKTOR-21,INDUSTRY-22,SEKTOR-22
0,AEFES,Beverages/Brewers,Consumer Defensive,Beverages/Brewers,Consumer Defensive,Beverages/Brewers,Consumer Defensive,Beverages/Brewers,Consumer Defensive
1,AKBNK,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services
2,AKSA,Textile Manufacturing,Consumer Cyclical,Textile Manufacturing,Consumer Cyclical,Textile Manufacturing,Consumer Cyclical,Textile Manufacturing,Consumer Cyclical
3,AKSEN,Utilities/Renewable,Utilities,Utilities/Renewable,Utilities,Utilities/Renewable,Utilities,Utilities/Renewable,Utilities
4,ALARK,Conglomerates,Industrials,Conglomerates,Industrials,Conglomerates,Industrials,Conglomerates,Industrials
5,ALBRK,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services
6,ALGYO,REIT/Diversified,Real Estate,REIT/Diversified,Real Estate,REIT/Diversified,Real Estate,REIT/Diversified,Real Estate
7,ANACM,BIRLES,BIRLES,BIRLES,BIRLES,,,,
8,ANELE,Engineering & Construction,Industrials,,,,,,
"9,ARCLK,""Furnishings, Fixtures & Appliances"",Consumer Cyclical,""Furnishings, Fixtures & Appliances"",Consumer Cyclical,""Furnishings, Fixtures & Appliances"",Consumer Cyclical,""Furnishings, Fixtures & Appliances"",Consumer Cyclical"
10,ASELS,Aerospace & Defense,Industrials,Aerospace & Defense,Industrials,Aerospace & Defense,Industrials,Aerospace & Defense,Industrials
11,BERA,Conglomerates,Industrials,,,Conglomerates,Industrials,Conglomerates,Industrials
12,BIMAS,Grocery Stores,Consumer Defensive,Grocery Stores,Consumer Defensive,Grocery Stores,Consumer Defensive,Grocery Stores,Consumer Defensive
13,BJKAS,Entertainment,Communication Services,,,,,,
14,CCOLA,Beverages/Non-Alcoholic,Consumer Defensive,Beverages/Non-Alcoholic,Consumer Defensive,Beverages/Non-Alcoholic,Consumer Defensive,Beverages/Non-Alcoholic,Consumer Defensive
15,CEMAS,Metal Fabrication,Industrials,,,Metal Fabrication,Industrials,Metal Fabrication,Industrials
16,CEMTS,Steel,Basic Materials,Steel,Basic Materials,Steel,Basic Materials,Steel,Basic Materials
17,CLEBI,Airports & Air Services,Industrials,Airports & Air Services,Industrials,,,,
18,DEVA,Drug Manufacturers/Specialty & Generic,Healthcare,Drug Manufacturers/Specialty & Generic,Healthcare,Drug Manufacturers/Specialty & Generic,Healthcare,Drug Manufacturers/Specialty & Generic,Healthcare
19,DGKLB,ISIM DEGIS,ISIM DEGIS,,,,,,
20,DOHOL,Conglomerates,Industrials,Conglomerates,Industrials,Conglomerates,Industrials,Conglomerates,Industrials
21,ECILC,Drug Manufacturers/General,Healthcare,Drug Manufacturers/General,Healthcare,Drug Manufacturers/General,Healthcare,Drug Manufacturers/General,Healthcare
22,EGEEN,Auto Parts,Consumer Cyclical,Auto Parts,Consumer Cyclical,Auto Parts,Consumer Cyclical,Auto Parts,Consumer Cyclical
23,EKGYO,REIT/Residential,Real Estate,REIT/Residential,Real Estate,REIT/Residential,Real Estate,REIT/Residential,Real Estate
24,ENJSA,Utilities/Regulated Electric,Utilities,Utilities/Regulated Electric,Utilities,Utilities/Regulated Electric,Utilities,Utilities/Regulated Electric,Utilities
25,ENKAI,Engineering & Construction,Industrials,Engineering & Construction,Industrials,Engineering & Construction,Industrials,Engineering & Construction,Industrials
26,EREGL,Steel,Basic Materials,Steel,Basic Materials,Steel,Basic Materials,Steel,Basic Materials
27,FENER,Entertainment,Communication Services,,,Entertainment,Communication Services,,
28,FLAP,Travel Services,Consumer Cyclical,,,,,,
29,FROTO,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical
30,GARAN,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services
"31,GENTS,""Furnishings, Fixtures & Appliances"",Consumer Cyclical,,,,,,"
32,GEREL,Electrical Equipment & Parts,Industrials,,,,,,
33,GLYHO,Conglomerates,Industrials,Conglomerates,Industrials,Conglomerates,Industrials,Conglomerates,Industrials
34,GOLTS,Building Materials,Basic Materials,,,,,,
35,GOODY,Auto Parts,Consumer Cyclical,Auto Parts,Consumer Cyclical,Auto Parts,Consumer Cyclical,,
36,GOZDE,Asset Management,Financial Services,Asset Management,Financial Services,Asset Management,Financial Services,Asset Management,Financial Services
37,GSDHO,Asset Management,Financial Services,Asset Management,Financial Services,Asset Management,Financial Services,Asset Management,Financial Services
38,GSRAY,Entertainment,Communication Services,,,Entertainment,Communication Services,,
39,GUBRF,Agricultural Inputs,Basic Materials,Agricultural Inputs,Basic Materials,Agricultural Inputs,Basic Materials,Agricultural Inputs,Basic Materials
40,HALKB,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services
41,HEKTS,Agricultural Inputs,Basic Materials,Agricultural Inputs,Basic Materials,Agricultural Inputs,Basic Materials,Agricultural Inputs,Basic Materials
42,HURGZ,Publishing,Communication Services,,,,,,
43,ICBCT,Banks/Regional,Financial Services,,,,,,
44,IHLAS,Conglomerates,Industrials,,,,,,
45,IHLGM,Real Estate/Diversified,Real Estate,,,Real Estate/Diversified,Real Estate,,
46,INDES,Computer Hardware,Technology,Computer Hardware,Technology,Computer Hardware,Technology,Computer Hardware,Technology
47,IPEKE,Gold,Basic Materials,Gold,Basic Materials,Gold,Basic Materials,Gold,Basic Materials
48,ISCTR,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services
49,ISGYO,REIT/Diversified,Real Estate,REIT/Diversified,Real Estate,REIT/Diversified,Real Estate,REIT/Diversified,Real Estate
50,ITTFH,Conglomerates,Industrials,,,,,,
51,KARSN,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical
52,KARTN,Packaging & Containers,Consumer Cyclical,Packaging & Containers,Consumer Cyclical,Packaging & Containers,Consumer Cyclical,Packaging & Containers,Consumer Cyclical
53,KCHOL,Conglomerates,Industrials,Conglomerates,Industrials,Conglomerates,Industrials,Conglomerates,Industrials
54,KERVT,Packaged Foods,Consumer Defensive,Packaged Foods,Consumer Defensive,Packaged Foods,Consumer Defensive,Packaged Foods,Consumer Defensive
55,KORDS,Textile Manufacturing,Consumer Cyclical,Textile Manufacturing,Consumer Cyclical,Textile Manufacturing,Consumer Cyclical,Textile Manufacturing,Consumer Cyclical
56,KOZAA,Other Industrial Metals & Mining,Basic Materials,Other Industrial Metals & Mining,Basic Materials,Other Industrial Metals & Mining,Basic Materials,Other Industrial Metals & Mining,Basic Materials
57,KOZAL,Gold,Basic Materials,Gold,Basic Materials,Gold,Basic Materials,Gold,Basic Materials
58,KRDMD,Steel,Basic Materials,Steel,Basic Materials,Steel,Basic Materials,Steel,Basic Materials
59,MAVI,Apparel Retail,Consumer Cyclical,Apparel Retail,Consumer Cyclical,Apparel Retail,Consumer Cyclical,Apparel Retail,Consumer Cyclical
60,METRO,Packaged Foods,Consumer Defensive,,,,,,
61,MGROS,Grocery Stores,Consumer Defensive,Grocery Stores,Consumer Defensive,Grocery Stores,Consumer Defensive,Grocery Stores,Consumer Defensive
62,MPARK,Medical Care Facilities,Healthcare,Medical Care Facilities,Healthcare,Medical Care Facilities,Healthcare,,
63,NETAS,Communication Equipment,Technology,Communication Equipment,Technology,Communication Equipment,Technology,,
64,NTHOL,Travel Services,Consumer Cyclical,Travel Services,Consumer Cyclical,Travel Services,Consumer Cyclical,Travel Services,Consumer Cyclical
65,ODAS,Utilities/Regulated Electric,Utilities,Utilities/Regulated Electric,Utilities,Utilities/Regulated Electric,Utilities,Utilities/Regulated Electric,Utilities
66,OTKAR,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical
67,PARSN,Specialty Industrial Machinery,Industrials,,,,,,
68,PETKM,Chemicals,Basic Materials,Chemicals,Basic Materials,Chemicals,Basic Materials,Chemicals,Basic Materials
69,PGSUS,Airlines,Industrials,Airlines,Industrials,Airlines,Industrials,Airlines,Industrials
70,POLHO,Specialty Chemicals,Basic Materials,,,Specialty Chemicals,Basic Materials,,
71,PRKME,Thermal Coal,Energy,,,,,,
72,SAHOL,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services
73,SARKY,Copper,Basic Materials,Copper,Basic Materials,Copper,Basic Materials,Copper,Basic Materials
74,SASA,Textile Manufacturing,Consumer Cyclical,Textile Manufacturing,Consumer Cyclical,Textile Manufacturing,Consumer Cyclical,Textile Manufacturing,Consumer Cyclical
75,SISE,Specialty Chemicals,Basic Materials,Specialty Chemicals,Basic Materials,Specialty Chemicals,Basic Materials,Specialty Chemicals,Basic Materials
76,SKBNK,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services
77,SODA,BIRLES,BIRLES,BIRLES,BIRLES,,,,
78,SOKM,Department Stores,Consumer Cyclical,Department Stores,Consumer Cyclical,Department Stores,Consumer Cyclical,Department Stores,Consumer Cyclical
79,TATGD,Packaged Foods,Consumer Defensive,Packaged Foods,Consumer Defensive,Packaged Foods,Consumer Defensive,,
80,TAVHL,Airports & Air Services,Industrials,Airports & Air Services,Industrials,Airports & Air Services,Industrials,Airports & Air Services,Industrials
81,TCELL,Telecom Services,Communication Services,Telecom Services,Communication Services,Telecom Services,Communication Services,Telecom Services,Communication Services
82,THYAO,Airlines,Industrials,Airlines,Industrials,Airlines,Industrials,Airlines,Industrials
83,TKFEN,Engineering & Construction,Industrials,Engineering & Construction,Industrials,Engineering & Construction,Industrials,Engineering & Construction,Industrials
84,TMSN,Farm & Heavy Construction Machinery,Industrials,Farm & Heavy Construction Machinery,Industrials,Farm & Heavy Construction Machinery,Industrials,Farm & Heavy Construction Machinery,Industrials
85,TOASO,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical
86,TRKCM,BIRLES,BIRLES,BIRLES,BIRLES,,,,
87,TSKB,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services
88,TTKOM,Telecom Services,Communication Services,Telecom Services,Communication Services,Telecom Services,Communication Services,Telecom Services,Communication Services
89,TTRAK,Farm & Heavy Construction Machinery,Industrials,Farm & Heavy Construction Machinery,Industrials,Farm & Heavy Construction Machinery,Industrials,Farm & Heavy Construction Machinery,Industrials
90,TUPRS,Oil & Gas Refining & Marketing,Energy,Oil & Gas Refining & Marketing,Energy,Oil & Gas Refining & Marketing,Energy,Oil & Gas Refining & Marketing,Energy
