date,total_cases,new_cases,total_vaccinations,new_vaccinations,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,stringency_index,gdp_per_capita
2020-03-11,1.0,1.0,,,,,0.012,0.012,,,23.15,25129.341
2020-03-12,1.0,0.0,,,,,0.012,0.0,,,23.15,25129.341
2020-03-13,5.0,4.0,,,,,0.059,0.047,,,23.15,25129.341
2020-03-14,5.0,0.0,,,,,0.059,0.0,,,23.15,25129.341
2020-03-15,6.0,1.0,,,,,0.07,0.012,,,23.15,25129.341
2020-03-16,18.0,12.0,,,,,0.211,0.141,,,52.78,25129.341
2020-03-17,47.0,29.0,,,1.0,1.0,0.551,0.34,0.012,0.012,52.78,25129.341
2020-03-18,98.0,51.0,,,1.0,0.0,1.148,0.598,0.012,0.0,58.33,25129.341
2020-03-19,192.0,94.0,,,3.0,2.0,2.25,1.101,0.035,0.023,58.33,25129.341
2020-03-20,359.0,167.0,,,4.0,1.0,4.207,1.957,0.047,0.012,58.33,25129.341
2020-03-21,670.0,311.0,,,9.0,5.0,7.851,3.644,0.105,0.059,62.04,25129.341
2020-03-22,1236.0,566.0,,,30.0,21.0,14.483,6.632,0.352,0.246,62.04,25129.341
2020-03-23,1529.0,293.0,,,37.0,7.0,17.916,3.433,0.434,0.082,62.04,25129.341
2020-03-24,1872.0,343.0,,,44.0,7.0,21.935,4.019,0.516,0.082,67.59,25129.341
2020-03-25,2433.0,561.0,,,59.0,15.0,28.509,6.574,0.691,0.176,67.59,25129.341
2020-03-26,3629.0,1196.0,,,75.0,16.0,42.523,14.014,0.879,0.187,67.59,25129.341
2020-03-27,5698.0,2069.0,,,92.0,17.0,66.767,24.244,1.078,0.199,70.37,25129.341
2020-03-28,7402.0,1704.0,,,108.0,16.0,86.734,19.967,1.266,0.187,75.93,25129.341
2020-03-29,9217.0,1815.0,,,131.0,23.0,108.002,21.268,1.535,0.27,75.93,25129.341
2020-03-30,10827.0,1610.0,,,168.0,37.0,126.867,18.865,1.969,0.434,75.93,25129.341
2020-03-31,13531.0,2704.0,,,214.0,46.0,158.552,31.685,2.508,0.539,75.93,25129.341
2020-04-01,15679.0,2148.0,,,277.0,63.0,183.721,25.17,3.246,0.738,75.93,25129.341
2020-04-02,18135.0,2456.0,,,356.0,79.0,212.5,28.779,4.171,0.926,75.93,25129.341
2020-04-03,20921.0,2786.0,,,425.0,69.0,245.145,32.645,4.98,0.809,75.93,25129.341
2020-04-04,23934.0,3013.0,,,501.0,76.0,280.451,35.305,5.871,0.891,75.93,25129.341
2020-04-05,27069.0,3135.0,,,574.0,73.0,317.185,36.735,6.726,0.855,75.93,25129.341
2020-04-06,30217.0,3148.0,,,649.0,75.0,354.073,36.887,7.605,0.879,75.93,25129.341
2020-04-07,34109.0,3892.0,,,725.0,76.0,399.678,45.605,8.495,0.891,75.93,25129.341
2020-04-08,38226.0,4117.0,,,812.0,87.0,447.919,48.242,9.515,1.019,75.93,25129.341
2020-04-09,42282.0,4056.0,,,908.0,96.0,495.446,47.527,10.64,1.125,75.93,25129.341
2020-04-10,47029.0,4747.0,,,1006.0,98.0,551.07,55.624,11.788,1.148,75.93,25129.341
2020-04-11,52167.0,5138.0,,,1101.0,95.0,611.275,60.205,12.901,1.113,77.78,25129.341
2020-04-12,56956.0,4789.0,,,1198.0,97.0,667.391,56.116,14.038,1.137,77.78,25129.341
2020-04-13,61049.0,4093.0,,,1296.0,98.0,715.352,47.96,15.186,1.148,75.93,25129.341
2020-04-14,65111.0,4062.0,,,1403.0,107.0,762.949,47.597,16.44,1.254,75.93,25129.341
2020-04-15,69392.0,4281.0,,,1518.0,115.0,813.112,50.163,17.787,1.348,75.93,25129.341
2020-04-16,74193.0,4801.0,,,1643.0,125.0,869.369,56.257,19.252,1.465,75.93,25129.341
2020-04-17,78546.0,4353.0,,,1769.0,126.0,920.376,51.007,20.729,1.476,75.93,25129.341
2020-04-18,82329.0,3783.0,,,1890.0,121.0,964.703,44.328,22.146,1.418,77.78,25129.341
2020-04-19,86306.0,3977.0,,,2017.0,127.0,1011.305,46.601,23.635,1.488,77.78,25129.341
2020-04-20,90980.0,4674.0,,,2140.0,123.0,1066.073,54.768,25.076,1.441,75.93,25129.341
2020-04-21,95591.0,4611.0,,,2259.0,119.0,1120.103,54.03,26.47,1.394,75.93,25129.341
2020-04-22,98674.0,3083.0,,,2376.0,117.0,1156.229,36.126,27.841,1.371,75.93,25129.341
2020-04-23,101790.0,3116.0,,,2491.0,115.0,1192.741,36.512,29.189,1.348,75.93,25129.341
2020-04-24,104912.0,3122.0,,,2600.0,109.0,1229.323,36.583,30.466,1.277,75.93,25129.341
2020-04-25,107773.0,2861.0,,,2706.0,106.0,1262.848,33.524,31.708,1.242,75.93,25129.341
2020-04-26,110130.0,2357.0,,,2805.0,99.0,1290.466,27.619,32.868,1.16,75.93,25129.341
2020-04-27,112261.0,2131.0,,,2900.0,95.0,1315.437,24.97,33.981,1.113,75.93,25129.341
2020-04-28,114653.0,2392.0,,,2992.0,92.0,1343.465,28.029,35.059,1.078,75.93,25129.341
2020-04-29,117589.0,2936.0,,,3081.0,89.0,1377.868,34.403,36.102,1.043,75.93,25129.341
2020-04-30,120204.0,2615.0,,,3174.0,93.0,1408.51,30.642,37.192,1.09,75.93,25129.341
2020-05-01,122392.0,2188.0,,,3258.0,84.0,1434.148,25.638,38.176,0.984,75.93,25129.341
2020-05-02,124375.0,1983.0,,,3336.0,78.0,1457.384,23.236,39.09,0.914,75.93,25129.341
2020-05-03,126045.0,1670.0,,,3397.0,61.0,1476.953,19.568,39.805,0.715,75.93,25129.341
2020-05-04,127659.0,1614.0,,,3461.0,64.0,1495.865,18.912,40.555,0.75,75.93,25129.341
2020-05-05,129491.0,1832.0,,,3520.0,59.0,1517.332,21.467,41.246,0.691,75.93,25129.341
2020-05-06,131744.0,2253.0,,,3584.0,64.0,1543.732,26.4,41.996,0.75,75.93,25129.341
