,pay kodu,pay adi,1ceyrek,2ceyrek,3ceyrek,4ceyrek
0,AFYON,AFYON ÇİMENTO ,XU100,XU100,XU100,XU100
1,AKBNK,AKBANK ,XU100,XU100,XU100,XU100
2,AKSA,AKSA ,XU100,XU100,XU100,XU100
3,AKSEN,AKSA ENERJİ ,XU100,XU100,XU100,XU100
4,ALGYO,ALARKO GMYO ,XU100,XU100,XU100,XU100
5,ALARK,ALARKO HOLDİNG ,XU100,XU100,XU100,XU100
6,ALBRK,ALBARAKA TÜRK ,XU100,XU100,XU100,XU100
7,ANACM,ANADOLU CAM ,XU100,XU100,XU100,XU100
8,AEFES,ANADOLU EFES ,XU100,XU100,XU100,XU100
9,ANELE,ANEL ELEKTRİK ,XU100,,,
10,ARCLK,ARÇELİK ,XU100,XU100,XU100,XU100
11,ASELS,ASELSAN ,XU100,XU100,XU100,XU100
12,BERA,BERA HOLDING,XU100,XU100,XU100,XU100
13,BJKAS,BEŞİKTAŞ FUTBOL YAT. ,XU100,XU100,XU100,XU100
14,BIMAS,BİM MAĞAZALAR ,XU100,XU100,XU100,XU100
15,CEMAS,ÇEMAŞ DÖKÜM ,XU100,XU100,XU100,XU100
16,CCOLA,COCA COLA İÇECEK ,XU100,XU100,XU100,XU100
17,CLEBI,ÇELEBİ ,XU100,XU100,XU100,XU100
18,CEMTS,ÇEMTAŞ ,XU100,XU100,XU100,XU100
19,DEVA,DEVA HOLDİNG ,XU100,,,XU100
20,DOHOL,DOĞAN HOLDİNG ,XU100,XU100,XU100,XU100
21,DGKLB,DOĞTAŞ KELEBEK MOBİLYA ,XU100,XU100,XU100,XU100
22,ECILC,ECZACIBAŞI İLAÇ ,XU100,XU100,XU100,XU100
23,ECZYT,ECZACIBAŞI YATIRIM ,XU100,,,
24,EGEEN,EGE ENDÜSTRİ ,XU100,XU100,XU100,XU100
25,EKGYO,EMLAK KONUT GMYO ,XU100,XU100,XU100,XU100
26,ENJSA,ENERJISA ENERJI,XU100,XU100,XU100,XU100
27,ENKAI,ENKA İNŞAAT ,XU100,XU100,XU100,XU100
28,EREGL,EREĞLİ DEMİR CELİK ,XU100,XU100,XU100,XU100
29,FENER,FENERBAHÇE FUTBOL ,XU100,XU100,XU100,XU100
30,FLAP,FLAP KONGRE TOPLANTI HİZ. ,XU100,,,
31,FROTO,FORD OTOSAN ,XU100,XU100,XU100,XU100
32,GSRAY,GALATASARAY SPORTİF ,XU100,XU100,XU100,XU100
33,GARAN,GARANTİ BANKASI ,XU100,XU100,XU100,XU100
34,GENTS,GENTAŞ ,XU100,XU100,XU100,
35,GEREL,GERSAN ELEKTRİK ,XU100,XU100,XU100,XU100
36,GLYHO,GLOBAL YAT. HOLDİNG ,XU100,XU100,,XU100
37,GOODY,GOOD-YEAR ,XU100,XU100,,
38,GOLTS,GÖLTAŞ ÇİMENTO ,XU100,XU100,XU100,XU100
39,GOZDE,GÖZDE GİRİŞİM ,XU100,XU100,XU100,XU100
40,GSDHO,GSD HOLDİNG ,XU100,XU100,XU100,XU100
41,GUBRF,GÜBRE FABRİK. ,XU100,XU100,XU100,XU100
42,HEKTS,HEKTAŞ ,XU100,XU100,XU100,XU100
43,HURGZ,HÜRRİYET GZT. ,XU100,XU100,XU100,
44,ICBCT,ICBC TURKEY BANK,XU100,XU100,XU100,XU100
45,IHLAS,İHLAS HOLDİNG ,XU100,XU100,XU100,XU100
46,IHLGM,İHLAS MADENCİLİK ,XU100,XU100,XU100,XU100
47,INDES,İNDEKS BİLGİSAYAR ,XU100,XU100,XU100,
48,IPEKE,İPEK DOĞAL ENERJİ ,XU100,XU100,XU100,XU100
49,ISCTR,İŞ BANKASI (C) ,XU100,XU100,XU100,XU100
50,ISDMR,İSKENDERUN DEMİR ÇELİK,XU100,XU100,XU100,XU100
51,ISGYO,İŞ GMYO ,XU100,XU100,XU100,
52,ITTFH,İTTİFAK HOLDİNG ,XU100,XU100,XU100,XU100
53,KRDMD,KARDEMİR (D) ,XU100,XU100,XU100,XU100
54,KARSN,KARSAN OTOMOTİV ,XU100,XU100,XU100,XU100
55,KARTN,KARTONSAN ,XU100,XU100,,
56,KERVT,KEREVİTAŞ GIDA ,XU100,XU100,XU100,XU100
57,KCHOL,KOÇ HOLDİNG ,XU100,XU100,XU100,XU100
58,KORDS,KORDSA TEKNIK TEKSTIL,XU100,XU100,XU100,XU100
59,KOZAL,KOZA ALTIN ,XU100,XU100,XU100,XU100
60,KOZAA,KOZA MADENCİLİK ,XU100,XU100,XU100,XU100
61,MAVI,MAVI GIYIM,XU100,XU100,XU100,XU100
62,MPARK,MLP SAGLIK,XU100,XU100,XU100,XU100
63,METRO,METRO HOLDİNG ,XU100,XU100,XU100,XU100
64,MGROS,MİGROS TİCARET ,XU100,XU100,XU100,XU100
65,NTHOL,NET HOLDİNG ,XU100,XU100,XU100,XU100
66,NETAS,NETAŞ TELEKOM. ,XU100,XU100,XU100,XU100
67,ODAS,ODAŞ ELEKTRİK ,XU100,XU100,XU100,XU100
68,OTKAR,OTOKAR ,XU100,XU100,XU100,XU100
69,PRKME,PARK ELEK.MADENCİLİK ,XU100,XU100,XU100,XU100
