,pay kodu,pay adi,1ceyrek,2ceyrek,3ceyrek,4ceyrek,5ceyrek
0,AGHOL,ANADOLU GRUBU HOLDING,XU100,,,,XU100
1,AKBNK,AKBANK,XU100,XU100,XU100,XU100,XU100
2,AKCNS,AKCANSA,XU100,,,,XU100
3,AKSA,AKSA,XU100,XU100,XU100,XU100,XU100
4,AKSEN,AKSA ENERJI,XU100,XU100,XU100,XU100,XU100
5,AKGRT,AKSIGORTA,XU100,,,,
6,AKSGY,AKIS GMYO,XU100,XU100,XU100,,
7,ALGYO,ALARKO GMYO,XU100,XU100,XU100,XU100,XU100
8,ALARK,ALARKO HOLDING,XU100,XU100,XU100,XU100,XU100
9,ALBRK,ALBARAKA TURK,XU100,XU100,XU100,XU100,XU100
10,ALCTL,ALCATEL LUCENT TELETAS,XU100,,,,
11,ALKIM,ALKIM KIMYA,XU100,XU100,XU100,XU100,XU100
12,AEFES,ANADOLU EFES,XU100,XU100,XU100,XU100,XU100
13,ARCLK,ARCELIK,XU100,XU100,XU100,XU100,XU100
14,ASELS,ASELSAN,XU100,XU100,XU100,XU100,XU100
15,AYGAZ,AYGAZ,XU100,,,,XU100
16,BAGFS,BAGFAS,XU100,XU100,,,
17,BERA,BERA HOLDING,XU100,XU100,XU100,XU100,XU100
18,BIMAS,BIM MAGAZALAR,XU100,XU100,XU100,XU100,XU100
19,BIZIM,BIZIM MAGAZALARI,XU100,,,,
20,BRSAN,BORUSAN MANNESMANN,XU100,XU100,XU100,XU100,
21,BRISA,BRISA,XU100,XU100,XU100,XU100,XU100
22,BUCIM,BURSA CIMENTO,XU100,XU100,XU100,,
23,CCOLA,COCA COLA ICECEK,XU100,XU100,XU100,XU100,XU100
24,CEMTS,CEMTAS,XU100,XU100,XU100,XU100,XU100
25,CIMSA,CIMSA,XU100,XU100,XU100,XU100,XU100
26,DEVA,DEVA HOLDING,XU100,XU100,XU100,XU100,XU100
27,DOHOL,DOGAN HOLDING,XU100,XU100,XU100,XU100,XU100
28,DOAS,DOGUS OTOMOTIV,XU100,XU100,XU100,XU100,XU100
