,HISSE,Unnamed: 0,INDUSTRY-21,SEKTOR-21,pay kodu,Unnamed: 0,pay adi,1ceyrek,2ceyrek,3ceyrek,4ceyrek,5ceyrek
0,AEFES,0,Beverages/Brewers,Consumer Defensive,AEFES,12,ANADOLU EFES,XU100,XU100,XU100,XU100,XU100
1,AFYON,108,Building Materials,Basic Materials,AFYON,112,AFYON CIMENTO,,,,XU100,
2,AGHOL,1,Beverages/Non-Alcoholic,Consumer Defensive,AGHOL,0,ANADOLU GRUBU HOLDING,XU100,,,,XU100
3,AKBNK,2,Banks/Regional,Financial Services,AKBNK,1,AKBANK,XU100,XU100,XU100,XU100,XU100
4,AKCNS,3,Building Materials,Basic Materials,AKCNS,2,AKCANSA,XU100,,,,XU100
5,AKGRT,4,Insurance/Diversified,Financial Services,AKGRT,5,AKSIGORTA,XU100,,,,
6,AKSA,5,Textile Manufacturing,Consumer Cyclical,AKSA,3,AKSA,XU100,XU100,XU100,XU100,XU100
7,AKSEN,6,Utilities/Renewable,Utilities,AKSEN,4,AKSA ENERJI,XU100,XU100,XU100,XU100,XU100
8,AKSGY,7,REIT/Diversified,Real Estate,AKSGY,6,AKIS GMYO,XU100,XU100,XU100,,
9,ALARK,8,Conglomerates,Industrials,ALARK,8,ALARKO HOLDING,XU100,XU100,XU100,XU100,XU100
10,ALBRK,9,Banks/Regional,Financial Services,ALBRK,9,ALBARAKA TURK,XU100,XU100,XU100,XU100,XU100
11,ALCTL,10,Communication Equipment,Technology,ALCTL,10,ALCATEL LUCENT TELETAS,XU100,,,,
12,ALGYO,11,REIT/Diversified,Real Estate,ALGYO,7,ALARKO GMYO,XU100,XU100,XU100,XU100,XU100
13,ALKIM,12,Paper & Paper Products,Basic Materials,ALKIM,11,ALKIM KIMYA,XU100,XU100,XU100,XU100,XU100
14,ARCLK,13,Furnishings & Fixtures & Appliances,Consumer Cyclical,ARCLK,13,ARCELIK,XU100,XU100,XU100,XU100,XU100
15,ARDYZ,116,Software/Infrastructure,Technology,ARDYZ,120,ARD BILISIM TEKNOLOJILERI,,,,,XU100
16,ASELS,14,Aerospace & Defense,Industrials,ASELS,14,ASELSAN,XU100,XU100,XU100,XU100,XU100
17,AYDEM,117,Utilities/Renewable,Utilities,AYDEM,121,AYDEM ENERJI,,,,,XU100
18,AYGAZ,15,Utilities/Regulated Gas,Utilities,AYGAZ,15,AYGAZ,XU100,,,,XU100
19,BAGFS,127,Agricultural Inputs,Basic Materials,BAGFS,16,BAGFAS,XU100,XU100,,,
20,BERA,16,Conglomerates,Industrials,BERA,17,BERA HOLDING,XU100,XU100,XU100,XU100,XU100
21,BIMAS,17,Grocery Stores,Consumer Defensive,BIMAS,18,BIM MAGAZALAR,XU100,XU100,XU100,XU100,XU100
22,BIOEN,118,Utilities/Renewable,Utilities,BIOEN,122,BIOTREND CEVRE VE ENERJI,,,,,XU100
23,BIZIM,18,Department Stores,Consumer Cyclical,BIZIM,19,BIZIM MAGAZALARI,XU100,,,,
24,BRISA,19,Auto Parts,Consumer Cyclical,BRISA,21,BRISA,XU100,XU100,XU100,XU100,XU100
25,BRSAN,20,Steel,Basic Materials,BRSAN,20,BORUSAN MANNESMANN,XU100,XU100,XU100,XU100,
26,BRYAT,109,Steel,Basic Materials,BRYAT,113,BORUSAN YAT. PAZ.,,,,XU100,
27,BUCIM,21,Building Materials,Basic Materials,BUCIM,22,BURSA CIMENTO,XU100,XU100,XU100,,
28,CANTE,119,Utilities/Independent Power Producers,Utilities,CANTE,123,CAN2 TERMIK,,,,,XU100
29,CCOLA,22,Beverages/Non-Alcoholic,Consumer Defensive,CCOLA,23,COCA COLA ICECEK,XU100,XU100,XU100,XU100,XU100
30,CEMAS,99,Metal Fabrication,Industrials,CEMAS,100,CEMAS DOKUM,,XU100,XU100,XU100,
31,CEMTS,23,Steel,Basic Materials,CEMTS,24,CEMTAS,XU100,XU100,XU100,XU100,XU100
32,CIMSA,24,Building Materials,Basic Materials,CIMSA,25,CIMSA,XU100,XU100,XU100,XU100,XU100
33,DEVA,25,Drug Manufacturers/Specialty & Generic,Healthcare,DEVA,26,DEVA HOLDING,XU100,XU100,XU100,XU100,XU100
34,DOAS,26,Auto & Truck Dealerships,Consumer Cyclical,DOAS,28,DOGUS OTOMOTIV,XU100,XU100,XU100,XU100,XU100
35,DOHOL,27,Conglomerates,Industrials,DOHOL,27,DOGAN HOLDING,XU100,XU100,XU100,XU100,XU100
36,ECILC,28,Drug Manufacturers/General,Healthcare,ECILC,29,ECZACIBASI ILAC,XU100,XU100,XU100,XU100,XU100
37,ECZYT,29,Conglomerates,Industrials,ECZYT,111,ECZACIBASI YATIRIM,,,XU100,XU100,
38,EGEEN,30,Auto Parts,Consumer Cyclical,EGEEN,30,EGE ENDUSTRI,XU100,XU100,XU100,XU100,XU100
39,EGGUB,31,Agricultural Inputs,Basic Materials,EGGUB,31,EGE GUBRE,XU100,XU100,XU100,XU100,
40,EKGYO,32,REIT/Residential,Real Estate,EKGYO,32,EMLAK KONUT GMYO,XU100,XU100,XU100,XU100,XU100
41,ENJSA,33,Utilities/Regulated Electric,Utilities,ENJSA,33,ENERJISA ENERJI,XU100,XU100,XU100,XU100,XU100
42,ENKAI,34,Engineering & Construction,Industrials,ENKAI,34,ENKA INSAAT,XU100,,,XU100,XU100
43,ERBOS,110,Metal Fabrication,Industrials,ERBOS,114,ERBOSAN,,,,XU100,XU100
