,HISSE,Unnamed: 0,INDUSTRY-22,SEKTOR-22,pay kodu,Unnamed: 0,pay adi,1ceyrek,2ceyrek,3ceyrek,4ceyrek
0,ADESE,0,Discount Stores,Consumer Defensive,ADESE,0,ADESE ALISVERIS TICARET,XU100,,,
1,AEFES,1,Beverages/Brewers,Consumer Defensive,AEFES,1,ANADOLU EFES,XU100,XU100,XU100,XU100
2,AGHOL,2,Beverages/Non-Alcoholic,Consumer Defensive,AGHOL,2,ANADOLU GRUBU HOLDING,XU100,XU100,XU100,XU100
3,AKBNK,3,Banks/Regional,Financial Services,AKBNK,3,AKBANK,XU100,XU100,XU100,XU100
4,AKFGY,109,REIT/Hotel & Motel,Real Estate,AKFGY,110,AKFEN GMYO,,,XU100,XU100
5,AKSA,4,Textile Manufacturing,Consumer Cyclical,AKSA,4,AKSA,XU100,XU100,XU100,XU100
6,AKSEN,5,Utilities/Renewable,Utilities,AKSEN,5,AKSA ENERJI,XU100,XU100,XU100,XU100
7,ALARK,6,Conglomerates,Industrials,ALARK,6,ALARKO HOLDING,XU100,XU100,XU100,XU100
8,ALBRK,110,Banks/Regional,Financial Services,ALBRK,111,ALBARAKA TURK,,,XU100,XU100
9,ALGYO,7,REIT/Diversified,Real Estate,ALGYO,7,ALARKO GMYO,XU100,XU100,XU100,XU100
10,ALKIM,8,Paper & Paper Products,Basic Materials,ALKIM,8,ALKIM KIMYA,XU100,XU100,XU100,XU100
11,ARASE,99,Utilities/Independent Power Producers,Utilities,ARASE,100,DOGU ARAS ENERJI,,XU100,,
12,ARCLK,9,Furnishings & Fixtures & Appliances,Consumer Cyclical,ARCLK,9,ARCELIK,XU100,XU100,XU100,XU100
13,ARDYZ,10,Software/Infrastructure,Technology,ARDYZ,10,ARD BILISIM TEKNOLOJILERI,XU100,XU100,XU100,
14,ASELS,11,Aerospace & Defense,Industrials,ASELS,11,ASELSAN,XU100,XU100,XU100,XU100
15,AYDEM,12,Utilities/Renewable,Utilities,AYDEM,12,AYDEM ENERJI,XU100,XU100,XU100,XU100
16,BAGFS,111,Agricultural Inputs,Basic Materials,BAGFS,112,BAGFAS,,,XU100,XU100
17,BASGZ,13,Utilities/Regulated Gas,Utilities,BASGZ,13,BASKENT DOGALGAZ GMYO,XU100,XU100,XU100,XU100
18,BERA,14,Conglomerates,Industrials,BERA,14,BERA HOLDING,XU100,XU100,XU100,XU100
19,BIMAS,15,Grocery Stores,Consumer Defensive,BIMAS,15,BIM MAGAZALAR,XU100,XU100,XU100,XU100
20,BIOEN,16,Utilities/Renewable,Utilities,BIOEN,16,BIOTREND CEVRE VE ENERJI,XU100,XU100,,
21,BRISA,17,Auto Parts,Consumer Cyclical,BRISA,17,BRISA,XU100,XU100,,
22,BRYAT,18,Steel,Basic Materials,BRYAT,18,BORUSAN YAT. PAZ.,XU100,XU100,XU100,XU100
23,BUCIM,112,Building Materials,Basic Materials,BUCIM,113,BURSA CIMENTO,,,XU100,XU100
24,CANTE,19,Utilities/Independent Power Producers,Utilities,CANTE,19,CAN2 TERMIK,XU100,XU100,,
25,CCOLA,20,Beverages/Non-Alcoholic,Consumer Defensive,CCOLA,20,COCA COLA ICECEK,XU100,XU100,XU100,XU100
26,CEMAS,21,Metal Fabrication,Industrials,CEMAS,21,CEMAS DOKUM,XU100,,,
27,CEMTS,113,Steel,Basic Materials,CEMTS,114,CEMTAS,,,XU100,XU100
28,CIMSA,22,Building Materials,Basic Materials,CIMSA,22,CIMSA,XU100,XU100,XU100,XU100
29,DEVA,23,Drug Manufacturers/Specialty & Generic,Healthcare,DEVA,23,DEVA HOLDING,XU100,XU100,XU100,XU100
30,DOAS,24,Auto & Truck Dealerships,Consumer Cyclical,DOAS,24,DOGUS OTOMOTIV,XU100,XU100,XU100,XU100
31,DOHOL,25,Conglomerates,Industrials,DOHOL,25,DOGAN HOLDING,XU100,XU100,XU100,XU100
32,ECILC,26,Drug Manufacturers/General,Healthcare,ECILC,26,ECZACIBASI ILAC,XU100,XU100,XU100,XU100
33,EGEEN,27,Auto Parts,Consumer Cyclical,EGEEN,27,EGE ENDUSTRI,XU100,XU100,XU100,XU100
34,EKGYO,28,REIT/Residential,Real Estate,EKGYO,28,EMLAK KONUT GMYO,XU100,XU100,XU100,XU100
35,ENJSA,29,Utilities/Regulated Electric,Utilities,ENJSA,29,ENERJISA ENERJI,XU100,XU100,XU100,XU100
36,ENKAI,30,Engineering & Construction,Industrials,ENKAI,30,ENKA INSAAT,XU100,XU100,XU100,XU100
37,ERBOS,31,Metal Fabrication,Industrials,ERBOS,31,ERBOSAN,XU100,XU100,XU100,XU100
38,EREGL,32,Steel,Basic Materials,EREGL,32,EREGLI DEMIR CELIK,XU100,XU100,XU100,XU100
39,ESEN,33,Utilities/Renewable,Utilities,ESEN,33,ESENBOGA ELEKTRIK,XU100,XU100,,
40,FROTO,34,Auto Manufacturers,Consumer Cyclical,FROTO,34,FORD OTOSAN,XU100,XU100,XU100,XU100
41,GARAN,35,Banks/Regional,Financial Services,GARAN,35,GARANTI BANKASI,XU100,XU100,XU100,XU100
42,GENIL,36,Drug Manufacturers/Specialty & Generic,Healthcare,GENIL,36,GEN ILAC,XU100,XU100,XU100,XU100
43,GESAN,37,Engineering & Construction,Industrials,GESAN,37,GIRISIM ELEKTRIK SANAYI,XU100,,,XU100
44,GLYHO,38,Conglomerates,Industrials,GLYHO,38,GLOBAL YAT. HOLDING,XU100,XU100,XU100,XU100
45,GOZDE,39,Asset Management,Financial Services,GOZDE,39,GOZDE GIRISIM,XU100,XU100,XU100,XU100
46,GSDHO,100,Asset Management,Financial Services,GSDHO,101,GSD HOLDING,,XU100,XU100,XU100
47,GUBRF,40,Agricultural Inputs,Basic Materials,GUBRF,40,GUBRE FABRIK.,XU100,XU100,XU100,XU100
48,GWIND,101,Utilities/Renewable,Utilities,GWIND,102,GALATA WIND ENERJI,,XU100,XU100,XU100
49,HALKB,41,Banks/Regional,Financial Services,HALKB,41,T. HALK BANKASI,XU100,XU100,XU100,XU100
50,HEKTS,42,Agricultural Inputs,Basic Materials,HEKTS,42,HEKTAS,XU100,XU100,XU100,XU100
51,INDES,43,Computer Hardware,Technology,INDES,43,INDEKS BILGISAYAR,XU100,XU100,XU100,
52,INVES,114,Asset Management,Financial Services,INVES,115,INVESTCO HOLDING,,,XU100,
53,IPEKE,44,Gold,Basic Materials,IPEKE,44,IPEK DOGAL ENERJI,XU100,XU100,XU100,XU100
54,ISCTR,45,Banks/Regional,Financial Services,ISCTR,45,IS BANKASI (C),XU100,XU100,XU100,XU100
55,ISDMR,46,Steel,Basic Materials,ISDMR,46,ISKENDERUN DEMIR CELIK,XU100,XU100,XU100,XU100
56,ISFIN,47,Credit Services,Financial Services,ISFIN,47,IS FIN.KIR.,XU100,XU100,XU100,XU100
