,HISSE,INDUSTRY-22,SEKTOR-22,INDUSTRY-21,SEKTOR-21,INDUSTRY-20,SEKTOR-20,INDUSTRY-19,SEKTOR-19
0,ADESE,Discount Stores,Consumer Defensive,,,,,Discount Stores,Consumer Defensive
1,AEFES,Beverages/Brewers,Consumer Defensive,Beverages/Brewers,Consumer Defensive,Beverages/Brewers,Consumer Defensive,Beverages/Brewers,Consumer Defensive
2,AFYON,,,Building Materials,Basic Materials,,,Building Materials,Basic Materials
3,AGHOL,Beverages/Non-Alcoholic,Consumer Defensive,Beverages/Non-Alcoholic,Consumer Defensive,Beverages/Non-Alcoholic,Consumer Defensive,Beverages/Non-Alcoholic,Consumer Defensive
4,AKBNK,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services
5,AKCNS,,,Building Materials,Basic Materials,Building Materials,Basic Materials,,
6,AKFGY,REIT/Hotel & Motel,Real Estate,,,,,,
7,AKGRT,,,Insurance/Diversified,Financial Services,Insurance/Diversified,Financial Services,,
8,AKSA,Textile Manufacturing,Consumer Cyclical,Textile Manufacturing,Consumer Cyclical,Textile Manufacturing,Consumer Cyclical,Textile Manufacturing,Consumer Cyclical
9,AKSEN,Utilities/Renewable,Utilities,Utilities/Renewable,Utilities,Utilities/Renewable,Utilities,Utilities/Renewable,Utilities
10,AKSGY,,,REIT/Diversified,Real Estate,REIT/Diversified,Real Estate,,
11,ALARK,Conglomerates,Industrials,Conglomerates,Industrials,Conglomerates,Industrials,Conglomerates,Industrials
12,ALBRK,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services
13,ALCTL,,,Communication Equipment,Technology,Communication Equipment,Technology,,
14,ALGYO,REIT/Diversified,Real Estate,REIT/Diversified,Real Estate,REIT/Diversified,Real Estate,REIT/Diversified,Real Estate
15,ALKIM,Paper & Paper Products,Basic Materials,Paper & Paper Products,Basic Materials,Paper & Paper Products,Basic Materials,,
16,ANACM,,,,,BIRLES,BIRLES,BIRLES,BIRLES
17,ANELE,,,,,,,Engineering & Construction,Industrials
18,ANHYT,,,,,Insurance/Life,Financial Services,,
19,ARASE,Utilities/Independent Power Producers,Utilities,,,,,,
20,ARCLK,Furnishings & Fixtures & Appliances,Consumer Cyclical,Furnishings & Fixtures & Appliances,Consumer Cyclical,Furnishings & Fixtures & Appliances,Consumer Cyclical,Furnishings & Fixtures & Appliances,Consumer Cyclical
21,ARDYZ,Software/Infrastructure,Technology,Software/Infrastructure,Technology,Software/Infrastructure,Technology,,
