"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"31.12.2021","11,70","11,93","11,95","11,55","1,39M","-1,93%"
"30.12.2021","11,93","12,20","12,28","11,72","2,57M","-2,13%"
"29.12.2021","12,19","12,10","12,60","11,78","2,89M","-1,61%"
"28.12.2021","12,39","13,48","13,57","12,16","17,21M","-7,68%"
"27.12.2021","13,42","13,21","13,89","12,55","26,90M","1,21%"
"24.12.2021","13,26","14,69","14,70","13,26","27,45M","-9,73%"
"23.12.2021","14,69","13,93","14,69","13,36","43,02M","9,96%"
"22.12.2021","13,36","12,30","13,36","11,87","36,11M","9,96%"
"21.12.2021","12,15","12,45","12,70","11,50","10,18M","1,50%"
"20.12.2021","11,97","11,10","12,19","10,47","13,86M","7,84%"
"17.12.2021","11,10","12,19","12,37","10,98","11,14M","-8,87%"
"16.12.2021","12,18","12,07","12,36","12,03","5,57M","1,25%"
"15.12.2021","12,03","12,30","12,38","12,03","5,77M","-2,04%"
"14.12.2021","12,28","12,36","12,67","12,14","8,37M","-0,16%"
"13.12.2021","12,30","12,65","12,83","12,18","9,05M","-1,84%"
"10.12.2021","12,53","12,48","12,70","12,19","4,95M","0,40%"
"09.12.2021","12,48","12,62","12,78","12,40","4,62M","-1,11%"
"08.12.2021","12,62","12,90","13,02","12,55","8,05M","-1,64%"
"07.12.2021","12,83","12,46","13,15","12,02","17,82M","2,89%"
"06.12.2021","12,47","12,95","13,04","12,37","8,25M","-3,78%"
"03.12.2021","12,96","13,13","13,18","12,87","7,30M","-1,44%"
"02.12.2021","13,15","12,79","13,46","12,21","24,61M","2,81%"
"01.12.2021","12,79","13,55","14,16","12,50","19,60M","-5,40%"
"30.11.2021","13,52","15,08","15,58","12,93","76,94M","-5,85%"
"29.11.2021","14,36","14,36","14,36","13,70","4,63M","9,95%"
"26.11.2021","13,06","12,93","13,06","12,42","5,62M","9,93%"
"25.11.2021","11,88","10,90","11,88","10,89","21,57M","10,00%"
"24.11.2021","10,80","9,88","10,82","9,88","31,75M","9,76%"
"23.11.2021","9,84","10,10","10,19","9,64","20,35M","-2,48%"
"22.11.2021","10,09","10,00","10,49","10,00","20,22M","2,85%"
"19.11.2021","9,81","9,24","9,85","9,18","26,75M","7,10%"
"18.11.2021","9,16","9,15","9,34","9,07","11,72M","0,33%"
"17.11.2021","9,13","9,12","9,67","9,07","30,99M","0,44%"
"16.11.2021","9,09","9,14","9,21","9,03","6,35M","-0,22%"
"15.11.2021","9,11","9,19","9,29","9,11","4,61M","-0,55%"
"12.11.2021","9,16","9,12","9,22","9,06","5,11M","0,44%"
"11.11.2021","9,12","9,25","9,30","9,11","4,28M","-1,41%"
"10.11.2021","9,25","9,20","9,41","8,98","14,25M","0,65%"
"09.11.2021","9,19","9,27","9,84","9,17","18,05M","-0,65%"
"08.11.2021","9,25","9,12","9,42","9,12","9,00M","1,98%"
"05.11.2021","9,07","9,60","9,76","9,06","12,96M","-5,32%"
"04.11.2021","9,58","9,47","9,72","9,42","13,57M","1,70%"
"03.11.2021","9,42","9,82","9,87","9,28","9,27M","-3,88%"
"02.11.2021","9,80","10,11","10,19","9,80","10,11M","-2,68%"
"01.11.2021","10,07","9,83","10,31","9,83","11,90M","2,55%"
"28.10.2021","9,82","10,05","10,06","9,82","4,02M","-2,09%"
"27.10.2021","10,03","10,24","10,25","9,93","11,31M","-1,76%"
"26.10.2021","10,21","10,28","10,37","10,19","6,73M","-0,39%"
"25.10.2021","10,25","10,50","10,55","10,22","6,74M","-2,94%"
"22.10.2021","10,56","10,16","10,72","10,16","13,39M","3,94%"
"21.10.2021","10,16","10,59","10,76","10,07","9,95M","-3,79%"
"20.10.2021","10,56","10,76","10,77","10,56","4,13M","-1,49%"
"19.10.2021","10,72","10,65","10,85","10,56","6,51M","0,75%"
"18.10.2021","10,64","11,18","11,25","10,63","9,35M","-4,23%"
"15.10.2021","11,11","11,28","11,45","11,08","4,73M","-1,16%"
"14.10.2021","11,24","11,25","11,53","11,23","3,40M","-0,53%"
"13.10.2021","11,30","11,35","11,62","11,17","10,23M","0,18%"
"12.10.2021","11,28","11,63","11,63","11,20","9,01M","-3,18%"
"11.10.2021","11,65","11,73","11,75","11,63","4,53M","-0,34%"
"08.10.2021","11,69","11,76","11,83","11,67","5,79M","-0,60%"
"07.10.2021","11,76","11,92","12,10","11,68","7,17M","-0,76%"
"06.10.2021","11,85","11,91","12,19","11,81","7,62M","-0,42%"
"05.10.2021","11,90","12,09","12,19","11,90","5,17M","-1,65%"
"04.10.2021","12,10","12,21","12,26","12,10","3,71M","-0,82%"
"01.10.2021","12,20","12,22","12,50","12,14","5,95M","-0,57%"
"30.09.2021","12,27","12,60","12,66","12,22","9,48M","-2,70%"
"29.09.2021","12,61","12,90","13,11","12,47","15,10M","-1,33%"
"28.09.2021","12,78","12,01","13,11","11,68","26,77M","6,41%"
"27.09.2021","12,01","12,19","12,22","11,94","4,93M","0,25%"
"24.09.2021","11,98","12,41","12,42","11,92","6,01M","-3,23%"
"23.09.2021","12,38","12,98","13,08","12,38","11,38M","-4,40%"
"22.09.2021","12,95","13,52","14,78","12,36","49,44M","-3,65%"
"21.09.2021","13,44","13,41","13,99","13,38","10,31M","0,98%"
"20.09.2021","13,31","13,65","13,78","13,08","3,83M","-4,04%"
