"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"31.12.2021","5,50","5,54","5,72","5,44","8,39M","-0,54%"
"30.12.2021","5,53","5,43","5,68","5,37","9,65M","2,03%"
"29.12.2021","5,42","5,43","5,45","5,36","3,69M","0,93%"
"28.12.2021","5,37","5,60","5,64","5,32","5,83M","-4,11%"
"27.12.2021","5,60","5,65","5,68","5,55","4,62M","0,36%"
"24.12.2021","5,58","5,60","5,63","5,54","3,98M","0,54%"
"23.12.2021","5,55","5,65","5,77","5,44","6,03M","0,73%"
"22.12.2021","5,51","5,43","5,70","5,33","10,70M","2,04%"
"21.12.2021","5,40","5,84","5,91","5,32","5,72M","-2,88%"
"20.12.2021","5,56","5,85","5,98","5,35","7,23M","-5,60%"
"17.12.2021","5,89","6,58","6,64","5,89","12,38M","-9,94%"
"16.12.2021","6,54","6,51","6,60","6,44","8,62M","0,62%"
"15.12.2021","6,50","6,77","6,78","6,50","9,16M","-3,42%"
"14.12.2021","6,73","6,71","6,89","6,71","15,89M","0,60%"
"13.12.2021","6,69","7,03","7,05","6,69","25,80M","-4,15%"
"10.12.2021","6,98","7,12","7,21","6,98","19,34M","-1,69%"
"09.12.2021","7,10","7,15","7,24","7,10","21,52M","-0,28%"
"08.12.2021","7,12","7,18","7,19","6,50","24,32M","-1,11%"
"07.12.2021","7,20","7,18","7,27","7,05","15,12M","0,98%"
"06.12.2021","7,13","7,01","7,29","7,00","18,44M","2,30%"
"03.12.2021","6,97","6,90","7,22","6,80","33,91M","1,46%"
"02.12.2021","6,87","6,26","6,87","6,26","40,62M","9,92%"
"01.12.2021","6,25","6,13","6,45","6,12","16,23M","2,46%"
"30.11.2021","6,10","6,15","6,25","6,08","6,81M","-0,97%"
"29.11.2021","6,16","6,30","6,30","6,10","7,63M","0,00%"
"26.11.2021","6,16","6,40","6,40","6,14","7,00M","-3,75%"
"25.11.2021","6,40","6,54","6,57","6,39","6,98M","-1,99%"
"24.11.2021","6,53","6,62","6,78","6,43","16,88M","-0,43%"
"23.11.2021","6,56","6,45","6,68","6,00","21,74M","1,67%"
"22.11.2021","6,45","6,43","6,54","6,40","12,03M","0,47%"
"19.11.2021","6,42","6,40","6,53","6,28","12,61M","1,23%"
"18.11.2021","6,34","6,40","6,44","6,31","1,90M","-0,84%"
"17.11.2021","6,40","6,36","6,44","6,23","1,95M","0,85%"
"16.11.2021","6,34","6,57","6,57","6,32","3,65M","-4,17%"
"15.11.2021","6,62","6,33","6,68","6,28","4,79M","4,55%"
"12.11.2021","6,33","6,59","6,59","6,31","3,88M","-3,21%"
"11.11.2021","6,54","6,29","6,60","6,17","4,83M","2,83%"
"10.11.2021","6,36","6,22","6,59","5,99","6,20M","2,22%"
"09.11.2021","6,22","6,34","6,42","6,22","3,53M","-2,35%"
"08.11.2021","6,37","6,39","6,43","6,34","3,21M","-0,28%"
"05.11.2021","6,39","6,52","6,59","6,36","4,30M","-3,71%"
"04.11.2021","6,64","6,58","6,72","6,36","6,84M","-1,25%"
"03.11.2021","6,72","6,60","6,94","6,28","105,90M","0,27%"
"02.11.2021","6,70","7,21","7,27","6,67","59,03M","-9,55%"
"01.11.2021","7,41","7,80","7,90","7,12","68,47M","-6,23%"
"28.10.2021","7,90","7,53","7,95","7,50","6,96M","5,36%"
"27.10.2021","7,50","8,13","8,40","7,49","54,39M","-7,41%"
"26.10.2021","8,10","8,65","8,94","7,96","45,55M","-6,25%"
"25.10.2021","8,64","8,26","8,73","8,26","34,38M","4,73%"
"22.10.2021","8,25","7,95","8,46","7,86","33,09M","3,70%"
"21.10.2021","7,96","7,80","8,33","7,50","33,12M","-1,78%"
"20.10.2021","8,10","9,00","9,51","8,10","17,77M","-10,00%"
"19.10.2021","9,00","8,53","9,06","8,52","32,56M","5,63%"
"18.10.2021","8,52","8,14","8,61","8,14","28,39M","5,11%"
"15.10.2021","8,11","8,04","8,37","7,95","14,06M","1,05%"
"14.10.2021","8,02","7,80","8,29","7,80","8,20M","2,45%"
"13.10.2021","7,83","7,83","7,97","7,78","9,43M","0,00%"
"12.10.2021","7,83","7,57","8,38","7,49","22,02M","2,76%"
"11.10.2021","7,62","7,46","7,76","7,35","9,98M","2,09%"
"08.10.2021","7,46","7,48","7,50","7,26","13,80M","0,24%"
"07.10.2021","7,45","7,67","7,80","7,37","16,50M","-3,05%"
"06.10.2021","7,68","7,09","7,76","7,05","35,99M","5,35%"
"05.10.2021","7,29","7,80","8,40","7,29","22,55M","-10,00%"
"04.10.2021","8,10","9,06","9,15","8,10","29,39M","-10,00%"
