"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"31.12.2021","33,59","33,21","33,88","32,79","1,91M","1,20%"
"30.12.2021","33,19","32,61","33,39","31,97","3,16M","1,77%"
"29.12.2021","32,61","31,57","32,65","30,95","2,59M","3,87%"
"28.12.2021","31,39","30,91","31,67","30,08","2,88M","1,61%"
"27.12.2021","30,89","29,88","30,91","29,74","2,69M","6,16%"
"24.12.2021","29,10","27,13","29,22","26,97","1,95M","8,23%"
"23.12.2021","26,89","27,91","28,06","26,47","1,25M","-0,88%"
"22.12.2021","27,13","27,59","28,58","27,09","1,78M","-1,73%"
"21.12.2021","27,61","29,78","29,90","27,09","2,20M","-1,00%"
"20.12.2021","27,89","28,20","29,52","26,43","2,06M","-3,18%"
"17.12.2021","28,80","31,77","33,09","28,34","4,73M","-8,54%"
"16.12.2021","31,49","30,76","31,55","30,66","2,01M","3,34%"
"15.12.2021","30,48","31,75","31,89","30,40","1,52M","-3,23%"
"14.12.2021","31,49","31,63","32,07","31,27","2,01M","0,57%"
"13.12.2021","31,31","30,99","31,57","30,93","1,95M","1,03%"
"10.12.2021","30,99","31,49","31,57","30,26","1,82M","-1,58%"
"09.12.2021","31,49","31,79","32,27","31,41","1,76M","-0,88%"
"08.12.2021","31,77","32,73","32,85","31,39","2,47M","-2,57%"
"07.12.2021","32,61","32,89","33,90","32,53","3,24M","0,99%"
"06.12.2021","32,29","31,09","32,51","30,99","2,85M","4,05%"
"03.12.2021","31,03","30,62","31,39","30,62","2,04M","1,63%"
"02.12.2021","30,54","30,52","30,89","30,14","2,38M","0,07%"
"01.12.2021","30,52","30,36","30,99","30,20","2,31M","1,53%"
"30.11.2021","30,06","29,50","30,52","29,00","2,34M","1,96%"
"29.11.2021","29,48","28,94","29,98","28,90","2,55M","2,21%"
"26.11.2021","28,84","29,04","29,28","28,38","2,35M","-0,69%"
"25.11.2021","29,04","28,30","29,32","28,20","3,58M","3,41%"
"24.11.2021","28,08","28,00","28,38","27,98","1,96M","0,86%"
"23.11.2021","27,85","28,46","28,60","27,51","2,58M","-2,38%"
"22.11.2021","28,52","28,00","28,78","28,00","1,77M","2,21%"
"19.11.2021","27,91","27,69","28,28","27,61","2,01M","1,52%"
"18.11.2021","27,49","27,73","27,96","27,25","1,59M","-0,79%"
"17.11.2021","27,71","27,91","28,18","27,61","1,24M","-0,93%"
"16.11.2021","27,96","28,70","28,72","27,91","1,26M","-2,57%"
"15.11.2021","28,70","28,94","29,14","28,66","1,39M","0,14%"
"12.11.2021","28,66","28,66","29,14","28,52","1,16M","0,14%"
"11.11.2021","28,62","29,28","29,28","28,60","1,47M","-2,25%"
"10.11.2021","29,28","30,06","30,44","29,10","3,54M","1,24%"
"09.11.2021","28,92","28,50","30,00","28,36","4,93M","1,82%"
"08.11.2021","28,40","28,18","28,78","28,18","1,47M","0,85%"
"05.11.2021","28,16","28,16","28,80","27,71","1,89M","0,43%"
"04.11.2021","28,04","27,98","28,54","27,94","1,03M","0,93%"
"03.11.2021","27,79","28,30","28,38","26,89","1,43M","-1,83%"
"02.11.2021","28,30","29,00","29,16","28,16","1,27M","-2,14%"
"01.11.2021","28,92","28,88","29,24","28,72","1,08M","0,69%"
"28.10.2021","28,72","29,08","29,22","28,64","481,94K","-1,03%"
"27.10.2021","29,02","29,10","29,80","28,40","2,08M","1,18%"
"26.10.2021","28,68","27,49","29,64","27,49","4,23M","4,81%"
"25.10.2021","27,37","27,51","27,75","27,27","1,12M","-1,01%"
"22.10.2021","27,65","27,41","27,87","27,31","955,29K","1,02%"
"21.10.2021","27,37","27,87","27,87","26,89","977,69K","-1,08%"
"20.10.2021","27,67","27,29","28,44","27,11","1,99M","1,46%"
"19.10.2021","27,27","27,61","27,77","27,15","870,98K","-0,44%"
"18.10.2021","27,39","27,19","27,71","26,69","1,29M","0,81%"
"15.10.2021","27,17","27,71","27,79","26,71","1,14M","-1,37%"
"14.10.2021","27,55","27,71","28,24","27,51","793,07K","-2,12%"
"13.10.2021","28,14","28,80","29,04","27,87","1,03M","-1,94%"
"12.10.2021","28,70","28,70","29,26","28,50","1,15M","0,70%"
"11.10.2021","28,50","28,84","29,18","28,46","944,05K","-0,49%"
"08.10.2021","28,64","28,72","28,92","28,30","880,09K","-0,07%"
"07.10.2021","28,66","28,64","29,24","28,64","894,59K","0,77%"
"06.10.2021","28,44","29,66","29,92","28,30","1,38M","-4,10%"
"05.10.2021","29,66","30,42","30,80","29,66","3,01M","-2,43%"
"04.10.2021","30,40","30,34","31,43","30,04","3,11M","-0,26%"
"01.10.2021","30,48","30,86","31,39","30,38","2,30M","-1,48%"
"30.09.2021","30,93","32,05","32,05","30,68","1,98M","-4,26%"
"29.09.2021","32,31","31,87","32,59","31,77","985,61K","1,95%"
"28.09.2021","31,69","32,21","32,27","31,29","961,40K","-1,36%"
"27.09.2021","32,13","32,69","32,81","32,09","769,73K","-0,92%"
"24.09.2021","32,43","32,91","33,31","32,27","1,03M","-2,92%"
"23.09.2021","33,41","33,15","33,67","32,41","1,34M","1,02%"
"22.09.2021","33,07","32,55","33,63","31,65","2,10M","2,53%"
"21.09.2021","32,25","31,89","33,43","31,89","2,07M","2,15%"
"20.09.2021","31,57","33,39","33,39","31,51","1,91M","-6,27%"
"17.09.2021","33,69","34,88","36,26","33,57","3,18M","-1,97%"
"16.09.2021","34,36","33,09","36,06","33,09","7,34M","4,80%"
"15.09.2021","32,79","32,41","33,33","32,31","1,40M","1,17%"
"14.09.2021","32,41","33,51","33,53","32,39","1,30M","-2,87%"
"13.09.2021","33,37","34,26","34,26","33,31","973,12K","-1,88%"
"10.09.2021","34,00","34,40","34,56","33,75","903,85K","-1,04%"
"09.09.2021","34,36","34,16","34,72","33,67","1,20M","0,35%"
"08.09.2021","34,24","35,78","35,96","34,14","1,67M","-3,81%"
"07.09.2021","35,60","36,14","36,30","35,60","1,11M","-1,11%"
"06.09.2021","36,00","36,00","36,72","35,98","1,47M","0,73%"
"03.09.2021","35,74","36,06","36,30","35,26","1,63M","-0,72%"
"02.09.2021","36,00","35,68","36,72","35,24","2,03M","1,52%"
"01.09.2021","35,46","36,40","37,39","35,24","3,76M","-1,39%"
"31.08.2021","35,96","34,08","36,54","33,88","4,57M","6,94%"
"27.08.2021","33,63","33,29","34,08","33,11","2,23M","1,32%"
"26.08.2021","33,19","33,29","34,32","32,97","2,88M","0,00%"
"25.08.2021","33,19","32,59","34,00","32,51","3,52M","1,96%"
"24.08.2021","32,55","32,69","33,25","32,03","2,70M","-0,18%"
"23.08.2021","32,61","30,72","33,27","30,72","6,52M","6,72%"
"20.08.2021","30,56","30,60","30,87","30,34","1,10M","-0,13%"
"19.08.2021","30,60","30,50","31,29","30,08","1,76M","-0,07%"
"18.08.2021","30,62","31,57","31,93","30,58","2,30M","-1,22%"
"17.08.2021","30,99","30,28","31,61","29,86","2,49M","2,64%"
"16.08.2021","30,20","30,14","30,76","30,08","1,58M","1,13%"
"13.08.2021","29,86","30,14","30,30","29,80","745,89K","-0,86%"
"12.08.2021","30,12","29,94","30,34","29,80","1,15M","1,34%"
"11.08.2021","29,72","30,82","30,87","29,52","1,26M","-3,12%"
"10.08.2021","30,68","30,46","31,09","30,40","1,40M","0,26%"
"09.08.2021","30,60","30,34","31,03","30,14","1,87M","1,66%"
"06.08.2021","30,10","30,78","31,13","30,04","1,37M","-2,64%"
"05.08.2021","30,91","31,47","31,65","30,87","2,01M","-1,59%"
"04.08.2021","31,41","30,38","31,97","30,14","3,91M","3,82%"
"03.08.2021","30,26","29,40","31,67","29,22","5,25M","2,85%"
"02.08.2021","29,42","29,08","29,78","28,92","1,36M","1,65%"
"30.07.2021","28,94","28,94","29,20","28,82","764,94K","-0,34%"
"29.07.2021","29,04","29,06","29,58","28,94","1,30M","0,76%"
"28.07.2021","28,82","28,90","29,38","28,74","898,06K","-0,34%"
"27.07.2021","28,92","28,84","29,24","28,64","997,63K","0,14%"
"26.07.2021","28,88","29,80","30,18","28,78","1,18M","-2,16%"
"19.07.2021","29,52","29,70","30,00","29,34","441,86K","-1,33%"
"16.07.2021","29,92","29,58","30,56","29,32","1,76M","1,15%"
"14.07.2021","29,58","28,62","30,50","28,52","2,23M","4,21%"
"13.07.2021","28,38","29,10","29,40","28,22","1,13M","-2,47%"
"12.07.2021","29,10","30,08","30,14","28,90","1,12M","-2,80%"
"09.07.2021","29,94","29,88","30,40","29,52","1,93M","0,40%"
"08.07.2021","29,82","30,06","30,82","29,58","1,36M","-0,80%"
"07.07.2021","30,06","30,10","30,95","29,82","1,50M","-0,13%"
"06.07.2021","30,10","31,99","32,37","30,10","3,42M","-4,97%"
"05.07.2021","31,67","28,90","31,67","28,86","4,01M","9,97%"
"02.07.2021","28,80","28,54","28,90","28,12","1,63M","1,62%"
"01.07.2021","28,34","28,32","28,70","28,08","738,72K","0,92%"
"30.06.2021","28,08","28,72","28,80","27,77","955,36K","-1,26%"
"29.06.2021","28,44","27,83","28,58","27,35","1,49M","2,29%"
"28.06.2021","27,81","28,86","29,84","27,69","988,64K","-3,46%"
"25.06.2021","28,80","30,08","30,26","28,80","780,84K","-3,92%"
"24.06.2021","29,98","29,84","30,62","29,84","981,11K","0,47%"
"23.06.2021","29,84","29,62","30,60","29,62","1,53M","1,08%"
"22.06.2021","29,52","28,86","29,74","28,66","1,80M","3,21%"
"21.06.2021","28,60","28,90","29,14","28,04","1,03M","-1,17%"
"18.06.2021","28,94","29,68","30,02","28,70","856,17K","-1,89%"
"17.06.2021","29,50","29,50","30,72","29,10","1,69M","-0,54%"
"16.06.2021","29,66","30,44","30,56","29,50","898,80K","-2,36%"
"15.06.2021","30,38","30,24","31,19","29,90","1,71M","0,33%"
"14.06.2021","30,28","31,61","31,89","30,28","1,19M","-4,10%"
"11.06.2021","31,57","32,59","32,59","31,43","1,01M","-1,43%"
"10.06.2021","32,03","32,87","33,15","31,77","1,66M","-1,77%"
"09.06.2021","32,61","32,85","33,69","32,61","2,24M","0,49%"
"08.06.2021","32,45","33,09","33,90","32,29","3,07M","-1,69%"
"07.06.2021","33,01","31,15","33,75","30,86","6,75M","6,70%"
"04.06.2021","30,93","30,82","32,31","30,54","3,99M","0,84%"
"03.06.2021","30,68","31,89","33,15","30,32","3,48M","-3,81%"
"02.06.2021","31,89","32,83","34,72","31,67","8,78M","1,01%"
"01.06.2021","31,57","29,90","31,57","29,78","4,68M","10,00%"
"31.05.2021","28,70","27,41","29,40","27,41","3,60M","6,04%"
"28.05.2021","27,07","27,96","27,96","26,93","844,78K","-3,35%"
"27.05.2021","28,00","27,13","29,20","26,51","3,15M","4,07%"
"26.05.2021","26,91","26,85","27,51","26,05","917,98K","0,45%"
"25.05.2021","26,79","28,72","28,94","26,79","1,22M","-5,55%"
"24.05.2021","28,36","28,94","29,88","28,28","1,66M","-2,00%"
"21.05.2021","28,94","29,28","29,38","28,84","751,07K","0,14%"
"20.05.2021","28,90","29,52","29,78","28,90","758,63K","-2,36%"
"18.05.2021","29,60","30,10","30,68","29,48","1,20M","-1,20%"
"17.05.2021","29,96","29,32","31,15","29,32","2,59M","2,18%"
"12.05.2021","29,32","29,70","30,14","29,16","615,46K","-1,34%"
"11.05.2021","29,72","29,48","30,00","29,00","1,06M","-0,07%"
"10.05.2021","29,74","29,46","30,62","29,28","1,55M","0,81%"
"07.05.2021","29,50","29,92","30,10","29,24","859,04K","-1,33%"
"06.05.2021","29,90","31,09","31,09","29,90","862,85K","-3,23%"
"05.05.2021","30,89","31,91","32,97","30,89","1,28M","-3,12%"
"04.05.2021","31,89","30,87","31,89","30,60","411,55K","3,29%"
"03.05.2021","30,87","30,00","30,89","29,90","354,09K","3,34%"
"30.04.2021","29,88","29,34","30,36","28,50","334,84K","2,04%"
"29.04.2021","29,28","29,56","29,94","29,20","217,06K","-0,88%"
"28.04.2021","29,54","30,74","30,80","27,75","254,18K","-3,83%"
"27.04.2021","30,72","29,80","31,39","29,06","494,34K","2,73%"
"26.04.2021","29,90","28,80","30,16","27,96","580,56K","2,04%"
"22.04.2021","29,30","27,31","29,70","25,41","920,08K","5,15%"
"21.04.2021","27,87","30,89","31,01","27,81","1,07M","-9,81%"
"20.04.2021","30,89","31,65","32,39","29,50","880,10K","-5,55%"
"19.04.2021","32,71","35,48","35,62","32,03","2,00M","-7,11%"
"16.04.2021","35,21","37,37","37,56","34,64","5,70M","2,43%"
"15.04.2021","34,38","36,21","36,31","34,30","1,85M","-4,96%"
"14.04.2021","36,17","35,17","36,77","35,15","2,23M","6,14%"
"13.04.2021","34,08","35,23","35,87","33,48","2,15M","-3,17%"
"12.04.2021","35,19","37,41","37,76","35,19","1,99M","-5,81%"
"09.04.2021","37,37","37,80","38,02","35,93","2,41M","-1,06%"
"08.04.2021","37,76","38,06","39,02","37,76","3,25M","-0,26%"
"07.04.2021","37,86","38,52","38,80","37,74","1,60M","-1,09%"
"06.04.2021","38,28","39,14","39,84","38,28","3,51M","-1,99%"
"05.04.2021","39,06","38,52","40,12","38,38","4,49M","1,29%"
"02.04.2021","38,56","39,34","40,10","38,36","4,20M","-1,93%"
"01.04.2021","39,32","39,98","40,35","39,02","2,66M","3,35%"
"31.03.2021","38,04","38,08","39,22","37,78","2,48M","0,21%"
"30.03.2021","37,96","39,22","39,42","37,56","2,95M","-3,25%"
"29.03.2021","39,24","40,04","41,07","39,22","2,50M","-1,25%"
"26.03.2021","39,74","40,08","41,29","38,18","5,99M","0,71%"
"25.03.2021","39,46","41,15","42,05","39,46","4,45M","-3,65%"
"24.03.2021","40,95","39,26","41,31","38,60","5,28M","6,53%"
"23.03.2021","38,44","35,07","39,80","33,10","7,17M","4,55%"
"22.03.2021","36,77","37,78","39,34","36,77","3,37M","-10,00%"
"19.03.2021","40,85","41,75","42,15","39,68","4,37M","-1,68%"
"18.03.2021","41,55","39,86","43,72","39,86","8,98M","4,09%"
"17.03.2021","39,92","41,51","41,51","39,50","3,66M","-3,98%"
"16.03.2021","41,57","43,72","46,03","41,55","10,32M","-2,66%"
"15.03.2021","42,71","42,65","42,71","41,27","6,46M","9,95%"
"12.03.2021","38,84","37,27","38,84","36,67","4,03M","4,39%"
"11.03.2021","37,21","36,37","38,32","36,29","4,16M","2,98%"
"10.03.2021","36,13","37,39","37,66","36,13","2,47M","-3,05%"
"09.03.2021","37,27","38,28","38,44","36,73","2,32M","-0,58%"
"08.03.2021","37,49","39,72","39,84","37,41","3,75M","-4,47%"
"05.03.2021","39,24","39,86","41,65","38,92","4,02M","-1,55%"
"04.03.2021","39,86","38,96","39,86","38,20","682,82K","1,32%"
"03.03.2021","39,34","39,66","40,16","38,56","713,41K","-0,60%"
"02.03.2021","39,58","38,62","40,85","37,74","1,16M","2,48%"
"01.03.2021","38,62","35,87","38,62","35,87","1,05M","9,99%"
"26.02.2021","35,11","32,88","35,21","31,27","708,70K","2,14%"
"25.02.2021","34,38","35,63","36,37","33,86","725,94K","-2,21%"
"24.02.2021","35,15","36,41","37,37","34,87","889,54K","-4,91%"
"23.02.2021","36,97","35,57","38,66","34,16","1,42M","3,98%"
"22.02.2021","35,55","37,94","38,06","35,03","1,21M","-5,36%"
"19.02.2021","37,56","38,96","39,18","37,35","948,06K","-3,58%"
"18.02.2021","38,96","39,36","40,85","37,58","1,41M","-1,51%"
"17.02.2021","39,56","40,02","41,61","38,66","9,53M","-0,95%"
"16.02.2021","39,94","41,91","42,15","37,84","6,66M","-3,56%"
"15.02.2021","41,41","41,17","43,24","40,73","8,66M","2,36%"
"12.02.2021","40,45","42,11","44,04","40,02","18,95M","-3,47%"
"11.02.2021","41,91","38,50","41,91","38,42","16,33M","9,99%"
"10.02.2021","38,10","34,87","38,10","34,54","12,01M","9,95%"
"09.02.2021","34,66","35,37","35,67","34,08","4,67M","-0,63%"
"08.02.2021","34,87","36,19","36,87","34,77","6,58M","-1,69%"
"05.02.2021","35,47","34,38","36,81","33,02","11,29M","4,58%"
"04.02.2021","33,92","35,13","36,87","32,54","7,90M","-1,33%"
"03.02.2021","34,38","38,66","39,42","33,72","20,57M","-7,26%"
"02.02.2021","37,07","35,57","37,07","35,07","6,62M","9,99%"
"01.02.2021","33,70","31,07","33,70","30,85","7,69M","9,95%"
"29.01.2021","30,65","27,58","30,65","26,94","10,57M","9,94%"
"28.01.2021","27,88","25,91","28,16","24,63","8,07M","7,12%"
"27.01.2021","26,03","28,16","28,84","25,85","7,67M","-3,62%"
"26.01.2021","27,00","27,00","28,86","26,09","9,02M","0,89%"
"25.01.2021","26,76","24,61","26,76","24,55","6,52M","9,99%"
"22.01.2021","24,33","23,67","24,37","22,62","4,81M","2,95%"
"21.01.2021","23,63","23,95","24,35","23,63","3,68M","-0,75%"
"20.01.2021","23,81","24,01","24,59","23,28","4,79M","-0,75%"
"19.01.2021","23,99","24,63","25,13","23,75","5,43M","-1,55%"
"18.01.2021","24,37","22,84","24,89","22,60","7,73M","7,19%"
"15.01.2021","22,74","22,90","23,52","22,52","4,51M","-1,89%"
"14.01.2021","23,18","22,22","23,48","21,94","7,63M","5,63%"
"13.01.2021","21,94","24,03","24,29","21,52","13,63M","-6,46%"
"12.01.2021","23,46","21,88","23,46","21,72","13,64M","10,00%"
