"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"31.12.2021","13,00","11,88","13,00","11,86","2,99M","9,52%"
"30.12.2021","11,87","12,30","12,33","11,84","1,67M","-3,50%"
"29.12.2021","12,30","11,66","12,30","11,62","2,15M","5,58%"
"28.12.2021","11,65","12,05","12,12","11,62","2,21M","-3,24%"
"27.12.2021","12,04","12,25","12,41","12,03","2,21M","-2,11%"
"24.12.2021","12,30","12,31","12,37","11,98","1,93M","0,00%"
"23.12.2021","12,30","12,19","12,31","11,70","2,01M","1,65%"
"22.12.2021","12,10","12,21","12,80","11,90","1,84M","-0,90%"
"21.12.2021","12,21","13,60","13,60","11,86","1,62M","-6,08%"
"20.12.2021","13,00","12,40","13,30","11,95","2,52M","2,36%"
"17.12.2021","12,70","13,82","14,41","12,43","5,14M","-8,04%"
"16.12.2021","13,81","13,56","13,88","13,44","5,46M","1,99%"
"15.12.2021","13,54","13,62","13,86","13,29","3,64M","-0,59%"
"14.12.2021","13,62","13,70","13,80","13,44","2,93M","-0,44%"
"13.12.2021","13,68","13,60","13,73","13,50","2,70M","0,59%"
"10.12.2021","13,60","13,67","13,72","13,10","2,52M","-0,51%"
"09.12.2021","13,67","13,44","13,78","13,33","3,25M","1,79%"
"08.12.2021","13,43","13,21","13,87","13,11","6,98M","2,05%"
"07.12.2021","13,16","13,04","13,34","13,04","4,14M","1,15%"
"06.12.2021","13,01","13,05","13,19","12,98","3,11M","0,15%"
"03.12.2021","12,99","13,05","13,19","12,95","3,37M","-0,61%"
"02.12.2021","13,07","12,90","13,21","12,79","2,86M","1,55%"
"01.12.2021","12,87","13,08","13,14","12,82","3,22M","-1,61%"
"30.11.2021","13,08","13,32","13,49","12,85","2,59M","-1,65%"
"29.11.2021","13,30","13,33","13,43","13,14","2,22M","0,76%"
"26.11.2021","13,20","13,00","13,25","12,78","3,19M","0,99%"
"25.11.2021","13,07","13,13","13,14","12,83","1,51M","-0,46%"
"24.11.2021","13,13","13,00","13,19","12,50","3,56M","1,70%"
"23.11.2021","12,91","12,84","12,92","12,36","2,84M","0,55%"
"22.11.2021","12,84","12,72","12,91","12,67","2,42M","3,05%"
"19.11.2021","12,46","12,08","12,46","12,08","2,22M","3,49%"
"18.11.2021","12,04","12,22","12,30","12,00","2,45M","-1,15%"
"17.11.2021","12,18","12,15","12,50","12,07","1,83M","0,25%"
"16.11.2021","12,15","11,81","12,35","11,68","5,17M","3,23%"
"15.11.2021","11,77","11,64","11,83","11,64","1,61M","1,12%"
"12.11.2021","11,64","11,60","11,74","11,59","925,32K","0,52%"
"11.11.2021","11,58","11,74","11,86","11,58","1,35M","-1,36%"
"10.11.2021","11,74","11,61","11,82","11,50","1,77M","1,12%"
"09.11.2021","11,61","11,86","11,91","11,61","1,36M","-1,94%"
"08.11.2021","11,84","11,66","11,89","11,58","2,85M","2,16%"
"05.11.2021","11,59","11,40","11,63","11,39","1,61M","1,76%"
"04.11.2021","11,39","11,43","11,54","11,37","1,36M","0,09%"
"03.11.2021","11,38","11,53","11,54","11,20","1,09M","-1,30%"
"02.11.2021","11,53","11,59","11,61","11,43","822,67K","-0,52%"
"01.11.2021","11,59","11,52","11,62","11,51","741,44K","0,52%"
"28.10.2021","11,53","11,63","11,72","11,53","400,82K","-0,86%"
"27.10.2021","11,63","11,65","11,75","11,61","636,11K","0,00%"
"26.10.2021","11,63","11,72","11,81","11,63","1,00M","-0,60%"
"25.10.2021","11,70","11,76","11,86","11,69","758,47K","-0,34%"
"22.10.2021","11,74","11,64","11,82","11,64","884,63K","0,86%"
"21.10.2021","11,64","11,72","11,75","11,42","1,41M","-0,60%"
"20.10.2021","11,71","11,40","11,97","11,38","3,22M","3,08%"
"19.10.2021","11,36","11,41","11,63","11,36","1,42M","-0,53%"
"18.10.2021","11,42","11,32","11,42","11,18","924,21K","0,09%"
"15.10.2021","11,41","11,51","11,60","11,38","677,49K","-0,70%"
"14.10.2021","11,49","11,50","11,63","11,42","1,13M","-0,43%"
"13.10.2021","11,54","11,50","11,68","11,43","1,45M","0,44%"
"12.10.2021","11,49","11,60","11,63","11,48","957,71K","-1,46%"
"11.10.2021","11,66","11,63","11,73","11,63","773,26K","0,00%"
"08.10.2021","11,66","11,73","11,94","11,65","1,06M","-0,93%"
"07.10.2021","11,77","11,80","11,90","11,63","829,80K","0,60%"
"06.10.2021","11,70","12,00","12,00","11,65","1,36M","-2,66%"
"05.10.2021","12,02","12,17","12,17","12,01","735,32K","-1,56%"
"04.10.2021","12,21","12,26","12,29","12,11","1,57M","-0,49%"
"01.10.2021","12,27","12,41","12,44","12,23","545,09K","-1,13%"
"30.09.2021","12,41","12,36","12,48","12,19","864,61K","0,57%"
"29.09.2021","12,34","12,39","12,39","12,18","978,36K","-0,08%"
"28.09.2021","12,35","12,44","12,62","12,32","3,36M","3,00%"
"27.09.2021","11,99","12,00","12,02","11,79","438,03K","-0,08%"
"24.09.2021","12,00","12,00","12,05","11,61","952,76K","0,00%"
"23.09.2021","12,00","12,19","12,20","11,79","1,49M","-1,56%"
"22.09.2021","12,19","12,42","12,43","12,08","925,83K","-1,69%"
"21.09.2021","12,40","12,38","12,40","12,25","534,97K","0,81%"
"20.09.2021","12,30","12,68","12,68","12,14","596,42K","-0,89%"
"17.09.2021","12,41","12,45","12,48","12,28","531,50K","-0,32%"
"16.09.2021","12,45","12,45","12,55","12,35","943,96K","0,00%"
"15.09.2021","12,45","12,52","12,52","12,25","1,15M","-0,32%"
"14.09.2021","12,49","12,50","12,64","12,49","893,59K","0,08%"
"13.09.2021","12,48","12,66","12,69","12,46","995,62K","-1,03%"
"10.09.2021","12,61","12,48","12,79","12,48","2,02M","1,04%"
"09.09.2021","12,48","12,42","12,50","12,38","847,73K","0,48%"
"08.09.2021","12,42","12,66","12,73","12,35","930,92K","-2,36%"
"07.09.2021","12,72","12,77","12,90","12,64","966,91K","-0,39%"
"06.09.2021","12,77","12,81","12,85","12,73","1,06M","-0,23%"
"03.09.2021","12,80","12,91","12,98","12,79","1,05M","-0,85%"
"02.09.2021","12,91","12,88","13,05","12,88","1,40M","0,23%"
"01.09.2021","12,88","13,11","13,16","12,88","1,39M","-1,30%"
"31.08.2021","13,05","12,95","13,19","12,95","1,40M","0,77%"
"27.08.2021","12,95","12,98","13,05","12,90","858,34K","-0,31%"
"26.08.2021","12,99","13,21","13,25","12,88","2,12M","-1,59%"
"25.08.2021","13,20","13,05","13,28","12,99","3,31M","1,15%"
"24.08.2021","13,05","12,78","13,14","12,78","2,50M","2,11%"
"23.08.2021","12,78","12,83","12,90","12,76","1,14M","-0,31%"
"20.08.2021","12,82","12,98","13,00","12,62","1,84M","-1,23%"
"19.08.2021","12,98","12,70","12,98","12,66","1,24M","1,64%"
"18.08.2021","12,77","12,91","13,20","12,75","2,50M","-0,39%"
"17.08.2021","12,82","13,01","13,04","12,79","1,15M","-0,93%"
"16.08.2021","12,94","12,64","13,08","12,62","2,53M","2,37%"
"13.08.2021","12,64","12,55","12,66","12,45","1,22M","0,88%"
"12.08.2021","12,53","12,56","12,59","12,41","940,34K","0,89%"
"11.08.2021","12,42","12,62","13,08","12,42","4,41M","-1,27%"
"10.08.2021","12,58","12,60","12,79","12,55","1,38M","0,00%"
"09.08.2021","12,58","12,77","12,80","12,58","1,12M","-1,49%"
"06.08.2021","12,77","12,82","12,91","12,73","1,05M","-0,55%"
"05.08.2021","12,84","12,88","13,02","12,79","1,13M","-0,39%"
"04.08.2021","12,89","12,66","13,02","12,66","2,52M","2,06%"
"03.08.2021","12,63","12,76","12,78","12,63","883,10K","-1,02%"
"02.08.2021","12,76","12,69","12,81","12,65","1,23M","0,55%"
"30.07.2021","12,69","12,73","12,80","12,67","950,73K","-0,24%"
"29.07.2021","12,72","12,73","12,83","12,62","1,98M","0,16%"
"28.07.2021","12,70","12,80","12,91","12,68","1,40M","-0,39%"
"27.07.2021","12,75","12,93","12,93","12,74","1,24M","-1,54%"
"26.07.2021","12,95","13,06","13,06","12,83","1,86M","-0,84%"
"19.07.2021","13,06","13,00","13,16","12,91","573,82K","0,00%"
"16.07.2021","13,06","12,94","13,30","12,90","2,16M","1,24%"
"14.07.2021","12,90","12,95","13,07","12,87","1,70M","-0,39%"
"13.07.2021","12,95","13,16","13,20","12,72","3,56M","-1,37%"
"12.07.2021","13,13","12,61","13,36","12,55","7,18M","4,29%"
"09.07.2021","12,59","12,50","12,61","12,30","2,47M","0,88%"
"08.07.2021","12,48","12,26","12,48","12,16","4,06M","2,89%"
"07.07.2021","12,13","12,08","12,30","12,05","1,80M","0,41%"
"06.07.2021","12,08","12,02","12,47","11,84","3,49M","1,09%"
"05.07.2021","11,95","12,34","12,35","11,73","8,06M","6,41%"
"02.07.2021","11,23","11,18","11,47","11,09","1,30M","0,45%"
"01.07.2021","11,18","11,33","11,38","11,13","1,23M","0,90%"
"30.06.2021","11,08","10,98","11,62","10,80","5,28M","1,37%"
"29.06.2021","10,93","10,95","10,98","10,66","2,19M","-0,55%"
"28.06.2021","10,99","11,30","11,34","10,95","1,53M","-2,40%"
"25.06.2021","11,26","11,55","11,65","11,24","1,69M","-2,09%"
"24.06.2021","11,50","11,41","11,52","11,39","1,02M","0,70%"
"23.06.2021","11,42","11,45","11,49","11,33","1,43M","0,26%"
"22.06.2021","11,39","11,61","11,64","11,39","1,36M","-0,87%"
"21.06.2021","11,49","11,78","11,80","10,99","4,73M","-2,71%"
"18.06.2021","11,81","12,28","12,35","11,81","5,92M","-3,28%"
"17.06.2021","12,21","12,33","12,33","12,15","1,66M","-1,13%"
"16.06.2021","12,35","12,31","12,43","12,25","1,82M","0,32%"
"15.06.2021","12,31","12,35","12,46","12,17","1,79M","-0,49%"
"14.06.2021","12,37","12,48","12,93","12,33","5,89M","-0,56%"
"11.06.2021","12,44","12,43","12,50","12,19","3,15M","0,40%"
"10.06.2021","12,39","12,24","12,58","12,21","4,54M","0,90%"
"09.06.2021","12,28","12,13","12,35","12,09","2,49M","1,24%"
"08.06.2021","12,13","12,16","12,26","12,09","1,94M","0,08%"
"07.06.2021","12,12","12,13","12,23","12,00","2,35M","0,08%"
"04.06.2021","12,11","12,22","12,26","11,99","1,63M","-0,25%"
"03.06.2021","12,14","12,25","12,46","12,10","1,77M","-0,90%"
"02.06.2021","12,25","12,23","12,35","12,11","1,87M","-0,33%"
"01.06.2021","12,29","12,32","12,44","12,23","2,18M","-0,24%"
"31.05.2021","12,32","12,35","12,39","12,19","1,12M","-0,24%"
"28.05.2021","12,35","12,39","12,41","12,06","1,64M","-0,16%"
"27.05.2021","12,37","12,36","12,50","12,20","2,34M","0,49%"
"26.05.2021","12,31","12,40","12,47","12,05","2,51M","0,00%"
"25.05.2021","12,31","12,91","12,94","12,31","3,00M","-4,65%"
"24.05.2021","12,91","12,70","13,05","12,62","4,53M","2,06%"
"21.05.2021","12,65","12,81","12,82","12,65","1,75M","-1,02%"
"20.05.2021","12,78","12,84","13,05","12,77","2,47M","-0,54%"
"18.05.2021","12,85","12,93","12,98","12,75","2,16M","-0,62%"
"17.05.2021","12,93","13,08","13,15","12,78","2,49M","-1,15%"
"12.05.2021","13,08","13,20","13,39","13,05","1,73M","-1,13%"
"11.05.2021","13,23","13,15","13,24","12,96","3,07M","0,08%"
"10.05.2021","13,22","13,24","13,37","13,04","3,39M","0,00%"
"07.05.2021","13,22","12,97","13,29","12,67","6,17M","2,24%"
"06.05.2021","12,93","13,55","13,63","12,82","6,26M","-2,42%"
"05.05.2021","13,25","12,95","13,27","12,83","5,81M","2,71%"
"04.05.2021","12,90","12,54","12,90","12,50","5,74M","2,63%"
"03.05.2021","12,57","12,64","12,64","12,46","2,58M","-0,79%"
"30.04.2021","12,67","12,49","12,75","12,41","2,78M","1,04%"
"29.04.2021","12,54","12,50","12,65","12,45","1,30M","0,80%"
"28.04.2021","12,44","12,88","12,88","12,37","2,20M","-2,96%"
"27.04.2021","12,82","12,84","13,16","12,62","5,38M","2,23%"
"26.04.2021","12,54","11,80","12,57","11,80","3,67M","3,72%"
"22.04.2021","12,09","11,88","12,12","11,44","4,98M","1,00%"
"21.04.2021","11,97","12,62","12,67","11,58","5,48M","-5,75%"
"20.04.2021","12,70","13,10","13,20","12,47","3,22M","-3,05%"
