"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"31.12.2021","2,43","2,44","2,48","2,41","3,76M","0,41%"
"30.12.2021","2,42","2,48","2,48","2,42","2,55M","-2,02%"
"29.12.2021","2,47","2,44","2,48","2,41","5,49M","1,65%"
"28.12.2021","2,43","2,45","2,46","2,39","9,93M","-0,41%"
"27.12.2021","2,44","2,49","2,53","2,42","8,47M","-1,61%"
"24.12.2021","2,48","2,47","2,52","2,42","10,59M","0,81%"
"23.12.2021","2,46","2,54","2,55","2,40","11,13M","-1,60%"
"22.12.2021","2,50","2,55","2,60","2,43","9,93M","0,00%"
"21.12.2021","2,50","2,52","2,71","2,46","21,17M","1,21%"
"20.12.2021","2,47","2,43","2,64","2,37","29,50M","-5,36%"
"17.12.2021","2,61","2,90","3,02","2,61","33,50M","-9,69%"
"16.12.2021","2,89","2,80","2,89","2,75","18,26M","4,33%"
"15.12.2021","2,77","2,90","2,94","2,77","26,65M","-3,48%"
"14.12.2021","2,87","2,88","3,02","2,86","45,44M","0,35%"
"13.12.2021","2,86","2,88","2,91","2,81","21,05M","0,35%"
"10.12.2021","2,85","2,70","2,97","2,70","60,49M","5,56%"
"09.12.2021","2,70","2,73","2,74","2,70","15,95M","-0,74%"
"08.12.2021","2,72","2,67","2,84","2,62","34,93M","3,03%"
"07.12.2021","2,64","2,62","2,68","2,61","11,29M","1,15%"
"06.12.2021","2,61","2,63","2,66","2,58","15,44M","-0,76%"
"03.12.2021","2,63","2,60","2,76","2,57","44,58M","-0,75%"
"02.12.2021","2,65","2,41","2,65","2,40","34,72M","9,96%"
"01.12.2021","2,41","2,40","2,44","2,38","11,12M","0,84%"
"30.11.2021","2,39","2,35","2,40","2,34","11,87M","1,27%"
"29.11.2021","2,36","2,34","2,44","2,34","24,05M","1,29%"
"26.11.2021","2,33","2,32","2,35","2,31","8,42M","-0,43%"
"25.11.2021","2,34","2,38","2,42","2,34","15,22M","-1,27%"
"24.11.2021","2,37","2,32","2,41","2,32","17,51M","2,60%"
"23.11.2021","2,31","2,33","2,35","2,29","17,88M","-0,86%"
"22.11.2021","2,33","2,34","2,35","2,32","12,50M","0,43%"
"19.11.2021","2,32","2,36","2,39","2,31","18,18M","-1,28%"
"18.11.2021","2,35","2,35","2,52","2,32","68,84M","0,43%"
"17.11.2021","2,34","2,32","2,38","2,31","19,03M","0,86%"
"16.11.2021","2,32","2,31","2,41","2,29","24,18M","0,87%"
"15.11.2021","2,30","2,32","2,33","2,30","10,51M","0,00%"
"12.11.2021","2,30","2,31","2,36","2,30","12,76M","0,00%"
"11.11.2021","2,30","2,31","2,34","2,30","11,14M","-0,86%"
"10.11.2021","2,32","2,31","2,43","2,31","22,62M","0,87%"
"09.11.2021","2,30","2,35","2,37","2,30","15,84M","-1,29%"
"08.11.2021","2,33","2,32","2,44","2,32","25,19M","0,87%"
"05.11.2021","2,31","2,46","2,55","2,31","45,38M","-4,94%"
"04.11.2021","2,43","2,21","2,43","2,21","65,28M","9,95%"
"03.11.2021","2,21","2,31","2,32","2,15","23,73M","-4,33%"
"02.11.2021","2,31","2,30","2,42","2,19","59,10M","5,00%"
"01.11.2021","2,20","2,20","2,20","2,20","9,38M","10,00%"
"28.10.2021","2,00","1,90","2,00","1,88","8,29M","9,89%"
"27.10.2021","1,82","1,67","1,82","1,66","43,91M","9,64%"
"26.10.2021","1,66","1,66","1,67","1,65","7,69M","0,00%"
"25.10.2021","1,66","1,63","1,70","1,62","17,55M","1,84%"
"22.10.2021","1,63","1,64","1,66","1,61","20,11M","0,00%"
"21.10.2021","1,63","1,59","1,74","1,59","64,74M","2,52%"
"20.10.2021","1,59","1,59","1,60","1,59","2,77M","-0,62%"
"19.10.2021","1,60","1,59","1,60","1,59","884,60K","0,63%"
"18.10.2021","1,59","1,59","1,60","1,59","3,89M","0,00%"
"15.10.2021","1,59","1,59","1,60","1,59","1,16M","0,00%"
"14.10.2021","1,59","1,59","1,60","1,59","1,52M","0,00%"
"13.10.2021","1,59","1,59","1,60","1,59","1,54M","0,00%"
"12.10.2021","1,59","1,59","1,60","1,59","1,57M","0,00%"
"11.10.2021","1,59","1,59","1,60","1,59","2,11M","0,00%"
"08.10.2021","1,59","1,59","1,60","1,59","1,87M","0,00%"
"07.10.2021","1,59","1,59","1,60","1,59","2,11M","-0,62%"
"06.10.2021","1,60","1,59","1,60","1,59","999,50K","0,63%"
"05.10.2021","1,59","1,59","1,60","1,59","2,12M","0,00%"
"04.10.2021","1,59","1,59","1,60","1,59","2,25M","0,00%"
"01.10.2021","1,59","1,59","1,60","1,59","1,16M","0,00%"
"30.09.2021","1,59","1,59","1,60","1,59","1,12M","0,00%"
"29.09.2021","1,59","1,59","1,60","1,59","3,13M","0,00%"
"28.09.2021","1,59","1,59","1,60","1,59","2,75M","0,00%"
"27.09.2021","1,59","1,59","1,60","1,59","3,14M","0,00%"
"24.09.2021","1,59","1,59","1,60","1,59","2,97M","0,00%"
"23.09.2021","1,59","1,59","1,60","1,59","4,48M","0,00%"
"22.09.2021","1,59","1,59","1,60","1,59","1,05M","-0,62%"
"21.09.2021","1,60","1,60","1,60","1,59","647,50K","0,00%"
"20.09.2021","1,60","1,59","1,60","1,59","2,85M","0,63%"
"17.09.2021","1,59","1,59","1,60","1,59","7,14M","0,00%"
"16.09.2021","1,59","1,59","1,60","1,59","1,62M","0,00%"
"15.09.2021","1,59","1,59","1,60","1,59","1,72M","0,00%"
"14.09.2021","1,59","1,59","1,60","1,59","1,85M","0,00%"
"13.09.2021","1,59","1,59","1,60","1,59","2,06M","0,00%"
"10.09.2021","1,59","1,59","1,60","1,59","1,98M","0,00%"
"09.09.2021","1,59","1,59","1,60","1,59","1,60M","0,00%"
"08.09.2021","1,59","1,59","1,60","1,59","2,41M","0,00%"
"07.09.2021","1,59","1,60","1,60","1,59","2,06M","-0,62%"
"06.09.2021","1,60","1,59","1,60","1,59","1,88M","0,63%"
"03.09.2021","1,59","1,59","1,60","1,59","1,50M","0,00%"
"02.09.2021","1,59","1,59","1,60","1,59","2,56M","0,00%"
"01.09.2021","1,59","1,59","1,60","1,59","2,24M","0,00%"
"31.08.2021","1,59","1,59","1,60","1,59","2,52M","0,00%"
"27.08.2021","1,59","1,59","1,60","1,59","1,33M","0,00%"
"26.08.2021","1,59","1,59","1,60","1,59","1,66M","0,00%"
"25.08.2021","1,59","1,59","1,60","1,59","2,58M","0,00%"
"24.08.2021","1,59","1,59","1,60","1,59","1,72M","0,00%"
"23.08.2021","1,59","1,59","1,60","1,59","1,71M","0,00%"
"20.08.2021","1,59","1,60","1,61","1,59","7,44M","0,00%"
"19.08.2021","1,59","1,59","1,60","1,59","2,22M","0,00%"
"18.08.2021","1,59","1,59","1,60","1,59","3,44M","0,00%"
"17.08.2021","1,59","1,59","1,60","1,59","4,65M","-0,62%"
"16.08.2021","1,60","1,59","1,60","1,59","1,76M","0,63%"
"13.08.2021","1,59","1,59","1,60","1,59","2,39M","-0,62%"
"12.08.2021","1,60","1,59","1,60","1,59","2,19M","0,63%"
"11.08.2021","1,59","1,59","1,60","1,59","5,08M","0,00%"
"10.08.2021","1,59","1,59","1,60","1,59","2,10M","0,00%"
"09.08.2021","1,59","1,59","1,60","1,59","259,87M","0,00%"
"06.08.2021","1,59","1,59","1,61","1,59","9,34M","0,00%"
"05.08.2021","1,59","1,59","1,60","1,59","2,20M","0,00%"
"04.08.2021","1,59","1,60","1,60","1,59","2,79M","-0,62%"
"03.08.2021","1,60","1,59","1,60","1,59","1,62M","0,63%"
"02.08.2021","1,59","1,59","1,60","1,59","3,70M","0,00%"
"30.07.2021","1,59","1,59","1,60","1,59","1,98M","0,00%"
"29.07.2021","1,59","1,59","1,60","1,59","3,25M","0,00%"
"28.07.2021","1,59","1,59","1,60","1,59","2,08M","0,00%"
"27.07.2021","1,59","1,59","1,60","1,59","3,39M","0,00%"
"26.07.2021","1,59","1,59","1,60","1,59","2,47M","0,00%"
"19.07.2021","1,59","1,59","1,60","1,59","1,56M","0,00%"
"16.07.2021","1,59","1,59","1,60","1,59","2,02M","0,00%"
"14.07.2021","1,59","1,59","1,60","1,59","1,46M","0,00%"
"13.07.2021","1,59","1,59","1,60","1,59","8,84M","-0,62%"
"12.07.2021","1,60","1,59","1,60","1,59","5,02M","0,00%"
"09.07.2021","1,60","1,59","1,60","1,59","1,52M","0,00%"
"08.07.2021","1,60","1,60","1,61","1,59","4,16M","0,00%"
"07.07.2021","1,60","1,60","1,61","1,59","2,37M","0,00%"
"06.07.2021","1,60","1,60","1,61","1,59","5,26M","0,00%"
"05.07.2021","1,60","1,60","1,61","1,60","5,27M","0,00%"
"02.07.2021","1,60","1,60","1,62","1,60","4,55M","0,00%"
"01.07.2021","1,60","1,60","1,61","1,60","3,70M","0,00%"
"30.06.2021","1,60","1,60","1,61","1,59","13,94M","0,00%"
"29.06.2021","1,60","1,60","1,61","1,60","5,78M","0,00%"
"28.06.2021","1,60","1,60","1,61","1,60","4,67M","0,00%"
"25.06.2021","1,60","1,60","1,61","1,60","2,54M","0,00%"
"24.06.2021","1,60","1,60","1,61","1,60","7,11M","-0,62%"
"23.06.2021","1,61","1,60","1,61","1,60","6,20M","0,62%"
"22.06.2021","1,60","1,61","1,61","1,60","3,62M","0,00%"
"21.06.2021","1,60","1,61","1,61","1,60","3,79M","-0,62%"
"18.06.2021","1,61","1,62","1,63","1,60","11,59M","-0,62%"
"17.06.2021","1,62","1,62","1,67","1,61","26,84M","0,00%"
"16.06.2021","1,62","1,63","1,63","1,62","2,75M","-0,61%"
"15.06.2021","1,63","1,62","1,63","1,62","5,35M","0,62%"
"14.06.2021","1,62","1,63","1,65","1,62","15,64M","-0,61%"
"11.06.2021","1,63","1,62","1,64","1,61","197,88M","0,62%"
"10.06.2021","1,62","1,62","1,63","1,61","12,75M","0,00%"
