TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SUB SEGMENT,MARKET SEGMENT,MARKET,INSTRUMENT GROUP,INSTRUMENT TYPE,INSTRUMENT CLASS,TRADING METHOD,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,CORPORATE ACTION,SUSPENDED,PREVIOUS LAST PRICE,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2020-07-14,ABIHL.V,AKBNKC2907200005.80IYM0000001NA,,K,MSPOT,ECW,MSPOTECW,MSPOTECWAKBIYM,PY,1,0,0,0,,0,0.3,0.3,0,0.25,0.3,0.25,0,-16.667,0.25,0.28,0.287,32614.79,113501,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-13,ABIHL.V,AKBNKC2907200005.80IYM0000001NA,,K,MSPOT,ECW,MSPOTECW,MSPOTECWAKBIYM,PY,1,0,0,0,,0,0.26,0.26,0,0.26,0.31,0.3,0,15.385,0.3,0.31,0.284,151545.71,534394,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-06,ABIHL.V,AKBNKC2907200005.80IYM0000001NA,,K,MSPOT,ECW,MSPOTECW,MSPOTECWAKBIYM,PY,1,0,0,0,,0,0.4,0.44,0,0.41,0.52,0.51,0,27.5,0.51,0.52,0.458,165788.45,362314,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-02,ABIHL.V,AKBNKC2907200005.80IYM0000001NA,,K,MSPOT,ECW,MSPOTECW,MSPOTECWAKBIYM,PY,1,0,0,0,,0,0.47,0.47,0,0.47,0.49,0.48,0,2.128,0.48,0.49,0.482,22062.29,45783,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-24,ABIHL.V,AKBNKC2907200005.80IYM0000001NA,,K,MSPOT,ECW,MSPOTECW,MSPOTECWAKBIYM,PY,1,0,0,0,,0,0.16,0.19,0,0.14,0.2,0.15,0,-6.25,0.14,0.15,0.157,38776.79,246916,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-27,ABIHL.V,AKBNKC2907200005.80IYM0000001NA,,K,MSPOT,ECW,MSPOTECW,MSPOTECWAKBIYM,PY,1,0,0,0,,0,0.15,0.15,0,0.06,0.15,0.06,0,-60,0.06,0.07,0.076,88751.55,1170178,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-22,ABIHL.V,AKBNKC2907200005.80IYM0000001NA,,K,MSPOT,ECW,MSPOTECW,MSPOTECWAKBIYM,PY,1,0,0,0,,0,0.21,0.21,0,0.19,0.26,0.2,0,-4.762,0.19,0.2,0.208,32092.84,154424,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-21,ABIHL.V,AKBNKC2907200005.80IYM0000001NA,,K,MSPOT,ECW,MSPOTECW,MSPOTECWAKBIYM,PY,1,0,0,0,,0,0.21,0.21,0,0.2,0.27,0.21,0,0,0.21,0.22,0.23,111232.95,483564,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-09,ABIHL.V,AKBNKC2907200005.80IYM0000001NA,,K,MSPOT,ECW,MSPOTECW,MSPOTECWAKBIYM,PY,1,0,0,0,,0,0.38,0.38,0,0.32,0.4,0.32,0,-15.789,0.32,0.33,0.367,53405.7,145470,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-08,ABIHL.V,AKBNKC2907200005.80IYM0000001NA,,K,MSPOT,ECW,MSPOTECW,MSPOTECWAKBIYM,PY,1,0,0,0,,0,0.48,0.49,0,0.37,0.49,0.38,0,-20.833,0.38,0.4,0.403,154364.63,382607,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
