TARIH;ISLEM  KODU;BULTEN ADI;PAZAR GRUBU;PAZAR;YAPISAL BAZDA PIYASA ALT BOLUMU;ENSTRUMAN GRUBU;ENSTRUMAN TIPI;ENSTRUMAN SINIFI;ISLEM YONTEMI;PIYASA YAPICI;BIST 100 ENDEKS;BIST 30 ENDEKS;BRUT TAKAS;OZSERMAYE HALI;GECICI DURDURMA;ONCEKI KAPANIS FIYATI;ACILIS FIYATI;ACILIS SEANSI FIYATI;EN DUSUK FIYAT;EN YUKSEK FIYAT;KAPANIS FIYATI;KAPANIS SEANSI FIYATI;DEGISIM (%);BEKLEYEN EN IYI ALIS;BEKLEYEN EN IYI SATIS;A.O.F;TOPLAM ISLEM HACMI;TOPLAM ISLEM ADEDI;TOPLAM SOZLESME SAYISI;REFERANS FIYAT;ACILIS SEANSI ISLEM HACMI;ACILIS SEANSI ISLEM MIKTARI;ACILIS SEANSI SOZLESME SAYISI;KAPANIS SEANSI ISLEM HACMI;KAPANIS SEANSI ISLEM MIKTARI;KAPANIS SEANSI SOZLESME SAYISI;KAPANIS FIYATINDAN ISLEMLER ISLEM HACMI;KAPANIS FIYATINDAN ISLEMLER ISLEM MIKTARI;KAPANIS FIYATINDAN ISLEMLER SOZLESME SAYISI;EN DUSUK ACIGA SATIS FIYATI;EN YUKSEK ACIGA SATIS FIYATI;ACIGA SATIS A.O.F;ACIGA SATIS ISLEM HACMI;ACIGA SATIS ISLEM ADEDI;ACIGA SATIS SOZLESME SAYISI;OZEL ISLEM BILDIRIMI EN DUSUK FIYAT;OZEL ISLEM BILDIRIMI EN YUKSEK FIYAT;OZEL ISLEM BILDIRIMI A.O.F.;OZEL ISLEM BILDIRIMI ISLEM HACMI;OZEL ISLEM BILDIRIMI ISLEM ADEDI;OZEL ISLEM BILDIRIMI SOZLESME SAYISI
TRADE DATE;INSTRUMENT SERIES CODE;INSTRUMENT NAME;MARKET SUB SEGMENT;MARKET SEGMENT;MARKET;INSTRUMENT GROUP;INSTRUMENT TYPE;INSTRUMENT CLASS;TRADING METHOD;MARKET MAKER;BIST 100 INDEX;BIST 30 INDEX;GROSS SETTLEMENT;CORPORATE ACTION;SUSPENDED;PREVIOUS LAST PRICE;OPENING PRICE;OPENING SESSION PRICE;LOWEST PRICE;HIGHEST PRICE;CLOSING PRICE;CLOSING SESSION PRICE;CHANGE TO PREVIOUS CLOSING (%);REMAINING BID;REMAINING ASK;VWAP;TOTAL TRADED VALUE;TOTAL TRADED VOLUME;TOTAL NUMBER OF CONTRACTS;REFERENCE PRICE;TRADED VALUE AT OPENING SESSION;TRADED VOLUME AT OPENING SESSION;NUMBER OF CONTRACTS AT OPENING SESSION;TRADED VALUE AT CLOSING SESSION;TRADED VOLUME AT CLOSING SESSION;NUMBER OF CONTRACTS AT CLOSING SESSION;TRADED VALUE OF TRADES AT CLOSING PRICE;TRADED VOLUME OF TRADES AT CLOSING PRICE;NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE;LOWEST SHORT SALE PRICE;HIGHEST SHORT SALE PRICE;SHORT SALE VWAP;TRADED VALUE OF SHORT SALE TRADES;TRADED VOLUME OF SHORT SALE TRADES;NUMBER OF CONTRACTS OF SHORT SALE TRADES;LOWEST TRADE REPORT PRICE;HIGHEST TRADE REPORT PRICE;TRADE REPORT VWAP;TRADE REPORT TRADED VALUE;TRADE REPORT TRADED VOLUME;NUMBER OF TRADE REPORTS
2020-06-19;ABIHI.V;AKBNKC3006200006.40IYM0000001NA;;K;MSPOT;ECW;MSPOTECW;MSPOTECWAKBIYM;PY;1;0;0;0;;0;0.13;0.14;0;0.12;0.14;0.13;0;0;0.13;0.14;0.128;88027.27;689138;142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-06-29;ABIHI.V;AKBNKC3006200006.40IYM0000001NA;;K;MSPOT;ECW;MSPOTECW;MSPOTECWAKBIYM;PY;1;0;0;0;;0;0.12;0.11;0;0.07;0.13;0.09;0;-25;0.09;0.1;0.096;138272.75;1440381;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-06-18;ABIHI.V;AKBNKC3006200006.40IYM0000001NA;;K;MSPOT;ECW;MSPOTECW;MSPOTECWAKBIYM;PY;1;0;0;0;;0;0.13;0.13;0;0.12;0.14;0.13;0;0;0.12;0.13;0.132;46874.85;354552;162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-06-23;ABIHI.V;AKBNKC3006200006.40IYM0000001NA;;K;MSPOT;ECW;MSPOTECW;MSPOTECWAKBIYM;PY;1;0;0;0;;0;0.14;0.14;0;0.14;0.17;0.14;0;0;0.14;0.15;0.142;120215.76;845042;259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-06-17;ABIHI.V;AKBNKC3006200006.40IYM0000001NA;;K;MSPOT;ECW;MSPOTECW;MSPOTECWAKBIYM;PY;1;0;0;0;;0;0.15;150;0;0.12;150;0.13;0;-13.333;0.13;0.15;0.142;101869.99;718207;195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-06-10;ABIHI.V;AKBNKC3006200006.40IYM0000001NA;;K;MSPOT;ECW;MSPOTECW;MSPOTECWAKBIYM;PY;1;0;0;0;;0;0.19;0.19;0;0.17;0.2;0.18;0;-5.263;0.17;0.18;0.182;83141.46;455964;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-06-08;ABIHI.V;AKBNKC3006200006.40IYM0000001NA;;K;MSPOT;ECW;MSPOTECW;MSPOTECWAKBIYM;PY;1;0;0;0;;0;0.23;0.23;0;0.2;0.24;0.21;0;-8.696;0.2;0.21;0.221;165324.31;748800;231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-06-03;ABIHI.V;AKBNKC3006200006.40IYM0000001NA;;K;MSPOT;ECW;MSPOTECW;MSPOTECWAKBIYM;PY;1;0;0;0;;0;0.22;0.22;0;0.21;0.23;0.23;0;4.545;0.21;0.23;0.222;202760.79;914858;293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-06-16;ABIHI.V;AKBNKC3006200006.40IYM0000001NA;;K;MSPOT;ECW;MSPOTECW;MSPOTECWAKBIYM;PY;1;0;0;0;;0;0.1;0.15;0;0.1;0.15;0.15;0;50;0.14;0.15;0.128;137779.5;1078026;337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
